"treatKey","cowKey","treatDate","treatType","VF","reason","diseaseKey","comment","Cost","WitholdingPeriod"
"339","149","1991-01-24 00:00:00","T_ANTB","FARMER","PENSA","","Mylipen","",""
"340","150","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"341","150","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"342","150","1993-10-21 00:00:00","T_HORM","FARMER","CIDR","","","",""
"343","150","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"344","150","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"345","150","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"346","151","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"347","151","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"348","151","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"349","151","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"350","151","1993-03-03 00:00:00","T_ANTB","FARMER","PENSA","","30ml Mylipen","",""
"351","152","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"352","152","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"353","152","1993-10-21 00:00:00","T_HORM","FARMER","CIDR","","","",""
"354","152","1994-02-01 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"355","152","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"356","153","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"357","153","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"358","154","1993-03-25 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"359","154","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"360","154","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"361","154","1993-10-21 00:00:00","T_HORM","FARMER","CIDR","","","",""
"362","154","1994-02-01 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"363","154","1992-03-19 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"364","154","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"365","154","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"366","155","1993-06-22 00:00:00","T_HORM","VET","PROSTA","","","",""
"367","155","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"368","155","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"369","155","1993-10-21 00:00:00","T_HORM","FARMER","CIDR","","","",""
"370","155","1994-02-01 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"371","155","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"372","155","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"373","155","1992-01-31 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"374","156","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"375","156","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"376","156","1993-10-21 00:00:00","T_HORM","FARMER","CIDR","","","",""
"377","156","1994-02-01 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"378","156","1992-03-15 00:00:00","T_META","FARMER","MAGNES","","Ca/Mg","",""
"379","156","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"380","156","1992-02-04 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"381","157","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"382","157","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"383","157","1993-10-21 00:00:00","T_HORM","FARMER","CIDR","","","",""
"384","157","1994-02-01 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"385","157","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"386","158","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"387","158","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"388","158","1992-04-03 00:00:00","T_META","FARMER","MAGNES","","In skin & vein","",""
"389","158","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"390","158","1993-04-07 00:00:00","T_META","FARMER","CALCUM","","2 bottles","",""
"391","158","1993-04-08 00:00:00","T_META","FARMER","CALCUM","","2 bottles","",""
"392","158","1992-02-04 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"393","159","1993-03-27 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"394","159","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"395","159","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"396","159","1993-10-21 00:00:00","T_HORM","FARMER","CIDR","","","",""
"397","159","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"398","160","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"399","160","1993-07-26 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"400","160","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"401","160","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"402","160","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"403","160","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"404","161","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"405","161","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"406","161","1993-10-21 00:00:00","T_HORM","FARMER","CIDR","","","",""
"407","161","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"408","161","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"409","162","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"410","162","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"411","163","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"412","163","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"413","163","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"414","164","1993-07-06 00:00:00","T_HORM","VET","PROSTA","","","",""
"415","164","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"416","164","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"417","164","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"418","164","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"419","166","1994-02-28 00:00:00","T_ANTB","VET","PENSA","","","",""
"423","167","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"424","167","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"425","167","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"426","167","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"428","168","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"429","168","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"431","169","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"432","169","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"433","169","1992-04-19 00:00:00","T_ANTB","FARMER","PENSA","","20ml Mylipen","",""
"434","169","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"435","169","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"437","170","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"438","170","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"441","171","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"442","171","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"443","171","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"446","172","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"447","172","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"450","172","1992-05-19 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"451","173","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"452","173","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
