"LifetimeID","Name","Breed","DamLifetimeID","SireLifetimeID","BWRel","FatRel","ProteinRel","MilkRel","WeightRel","SurvivalRel","BW","FatBV","ProteinBV","MilkBV","WeightBV","SurvivalBV","DateBWUpdated","FirstDateUsed","LastDateUsed"
"92304","KARLS DUSTIN                  ","","","","87.9000","","","","","","51.8000","","","","","","1998-04-03 00:00:00","1996-10-22 00:00:00","1996-11-03 00:00:00"
"93209","PEN-COL US EDROY-ET           ","","","","88.3000","","","","","","78.3000","","","","","","1998-04-03 00:00:00","1997-06-01 00:00:00","1998-06-08 00:00:00"
"93213","PEN-COL US ELDRED-ET          ","","","","86.1000","","","","","","80.8000","","","","","","1998-04-03 00:00:00","1997-06-04 00:00:00","1997-10-30 00:00:00"
"93231","FLEMINGS EGAN                 ","","","","90.2000","","","","","","78.0000","","","","","","1998-04-03 00:00:00","1997-06-14 00:00:00","1997-07-18 00:00:00"
"93232","JUDDS ENGINEER                ","","","","85.9000","","","","","","87.5000","","","","","","1998-04-03 00:00:00","1997-06-12 00:00:00","1998-10-27 00:00:00"
"93243","","","","","","","","","","","","","","","","","","1998-11-08 00:00:00","1998-11-08 00:00:00"
"93253","HIBI TROPHY EMISSARY          ","","","","88.0000","","","","","","69.6000","","","","","","1998-04-03 00:00:00","1997-06-10 00:00:00","1997-06-11 00:00:00"
"93262","ROLFES ELLIOT                 ","","","","91.2000","","","","","","96.9000","","","","","","1998-04-03 00:00:00","1997-06-02 00:00:00","1998-11-21 00:00:00"
"93263","SMITHS ELATION                ","","","","87.8000","","","","","","77.8000","","","","","","1998-04-03 00:00:00","1997-06-07 00:00:00","1997-07-04 00:00:00"
"93264","","","","","","","","","","","","","","","","","","1997-06-07 00:00:00","1997-06-07 00:00:00"
"93270","LLOYDS EXCELLENCY             ","","","","90.0000","","","","","","79.9000","","","","","","1998-04-03 00:00:00","1996-11-07 00:00:00","1998-10-27 00:00:00"
"93278","O'BYRNES EAMONN               ","","","","89.3000","","","","","","89.7000","","","","","","1998-04-03 00:00:00","1996-11-13 00:00:00","1998-11-19 00:00:00"
"93279","ANCELLS ELROS                 ","","","","89.9000","","","","","","83.9000","","","","","","1998-04-03 00:00:00","1997-10-27 00:00:00","1997-10-27 00:00:00"
"93281","","","","","","","","","","","","","","","","","","1997-11-02 00:00:00","1997-11-02 00:00:00"
"93291","ATHOL MURRAYS EMBLEM          ","","","","89.7000","","","","","","95.4000","","","","","","1998-04-03 00:00:00","1996-11-04 00:00:00","1996-11-17 00:00:00"
"93304","HALLVILLE EVEREST             ","","","","88.7000","","","","","","82.2000","","","","","","1998-04-03 00:00:00","1997-06-06 00:00:00","1997-07-22 00:00:00"
"94201","ETAZON US FAIRBANKS-ET        ","","","","78.6000","","","","","","65.2000","","","","","","1998-04-03 00:00:00","1997-11-19 00:00:00","1997-11-21 00:00:00"
"94203","","","","","","","","","","","","","","","","","","1998-06-01 00:00:00","1998-07-14 00:00:00"
