psmKey,cowKey,psmCalvDate,psmDate,comment
212,120,26/04/92,1/06/92,
213,120,20/03/91,1/06/91,
214,121,7/04/93,1/06/93,
215,121,25/03/92,1/06/92,
216,121,21/04/91,1/06/91,
217,122,9/04/93,1/06/93,
218,122,21/04/92,1/06/92,
219,122,9/03/91,1/06/91,
220,123,6/03/93,1/06/93,
221,123,6/03/93,1/11/93,
222,123,4/03/92,1/06/92,
223,123,1/03/91,1/06/91,
224,124,15/04/93,1/06/93,
225,124,15/04/93,1/11/93,
226,124,30/04/92,1/06/92,
227,124,13/03/91,1/06/91,
228,125,15/04/93,1/06/93,
229,125,3/03/92,1/06/92,
230,125,,4/06/91,
231,126,13/03/93,1/06/93,
232,126,9/03/92,1/06/92,
233,126,,4/06/91,
234,127,22/03/93,1/06/93,
235,127,22/03/93,1/11/93,
236,127,31/03/92,1/06/92,
237,127,20/03/91,1/06/91,
238,128,14/03/93,1/06/93,
239,128,9/04/92,1/06/92,
240,128,21/03/91,1/06/91,
241,129,17/03/93,1/06/93,
242,129,17/03/93,1/11/93,
243,129,4/10/91,1/06/92,
244,129,,4/06/91,
245,130,27/03/93,1/06/93,
246,130,27/03/93,1/11/93,
247,130,,1/06/92,
248,131,1/04/93,1/06/93,
249,131,1/04/93,1/11/93,
250,131,,1/06/92,
251,132,25/03/93,1/06/93,
252,132,25/03/93,1/11/93,
253,132,5/04/92,1/06/92,
254,132,21/03/91,1/06/91,
255,133,6/03/93,1/06/93,
256,133,6/03/93,1/11/93,
257,133,,1/06/92,
258,134,9/03/93,1/06/93,
259,134,3/03/92,1/06/92,
260,134,14/03/91,1/06/91,
261,135,6/05/93,1/06/93,
262,135,30/03/92,1/06/92,
263,135,9/03/91,1/06/91,
264,136,1/05/93,1/06/93,
265,136,11/03/92,1/06/92,
266,136,18/04/91,1/06/91,
267,137,28/04/93,1/06/93,
268,137,17/03/92,1/06/92,
269,137,20/03/91,1/06/91,
270,138,6/03/93,1/06/93,
271,138,6/03/93,1/11/93,
272,138,,1/06/92,
273,139,27/03/93,1/06/93,
274,139,28/03/92,1/06/92,
275,139,19/03/91,1/06/91,
276,140,5/04/93,1/06/93,
277,140,25/04/92,1/06/92,
278,140,25/04/91,1/06/91,
279,141,20/04/93,1/06/93,
280,141,20/04/93,1/11/93,
281,141,24/03/92,1/06/92,
282,141,1/05/91,1/06/91,
283,142,13/03/93,1/06/93,
284,142,13/03/93,1/11/93,
285,142,1/04/92,1/06/92,
286,143,20/03/93,1/06/93,
287,143,6/04/92,1/06/92,
288,143,19/04/91,1/06/91,
289,144,28/02/93,1/06/93,
290,144,28/02/93,1/11/93,
291,144,22/03/92,1/06/92,
292,144,,4/06/91,
293,145,28/03/93,1/06/93,
294,145,7/03/92,1/06/92,
295,145,3/03/91,1/06/91,
296,146,12/03/93,1/06/93,
297,146,12/03/93,1/11/93,
298,146,10/04/92,1/06/92,
299,146,1/03/91,1/06/91,
300,147,14/05/93,1/06/93,
301,147,14/05/93,1/11/93,
302,147,5/03/92,1/06/92,
303,147,,4/06/91,
304,148,5/04/93,1/06/93,
305,148,,1/06/92,
306,149,12/04/93,1/06/93,
307,149,12/04/93,1/11/93,
308,149,7/04/92,1/06/92,
309,149,18/04/91,1/06/91,
310,150,5/05/93,1/06/93,
311,150,5/05/93,1/11/93,
312,150,19/04/92,1/06/92,
313,150,5/03/91,1/06/91,
314,151,17/03/93,1/06/93,
315,151,17/03/93,1/11/93,
316,151,26/03/92,1/06/92,
317,151,29/03/91,1/06/91,
318,152,11/03/93,1/06/93,
319,152,11/03/93,1/11/93,
320,152,3/03/92,1/06/92,
321,152,,4/06/91,
322,153,,1/06/93,
323,154,23/03/93,1/06/93,
324,154,23/03/93,1/11/93,
325,154,19/03/92,1/06/92,
326,154,4/03/91,1/06/91,
327,155,2/04/93,1/06/93,
328,155,2/04/93,1/11/93,
329,155,2/04/92,1/06/92,
330,155,22/03/91,1/06/91,
331,156,18/04/93,1/06/93,
332,156,18/04/93,1/11/93,
333,156,14/03/92,1/06/92,
334,156,15/03/91,1/06/91,
335,157,27/03/93,1/06/93,
336,157,27/03/93,1/11/93,
337,157,,1/06/92,
338,158,9/04/93,1/06/93,
339,158,3/04/92,1/06/92,
340,158,30/04/91,1/06/91,
341,159,24/03/93,1/06/93,
342,159,24/03/93,1/11/93,
343,159,,1/06/92,
344,160,30/03/93,1/06/93,
345,160,30/03/92,1/06/92,
346,160,,1/06/91,
347,161,11/04/93,1/06/93,
348,161,11/04/93,1/11/93,
349,161,14/03/92,1/06/92,
350,161,22/03/91,1/06/91,
351,162,,1/06/93,
352,163,29/03/93,1/06/93,
353,163,,1/06/92,
354,164,11/03/93,1/06/93,
355,164,11/03/93,1/11/93,
356,164,13/03/92,1/06/92,
357,164,,4/06/91,
358,165,7/03/92,1/06/92,
359,165,10/03/91,1/06/91,
362,167,27/03/93,1/06/93,
363,167,15/03/92,1/06/92,
364,167,15/03/91,1/06/91,
368,168,,1/06/93,
370,169,22/03/93,1/06/93,
371,169,4/03/92,1/06/92,
372,169,,4/06/91,
375,170,,1/06/93,
379,171,13/03/93,1/06/93,
380,171,,1/06/92,
382,172,12/03/93,1/06/93,
383,172,,1/06/92,
385,173,1/05/93,1/06/93,
