ServKey,CowKey,servDate,servType,Sire,Technician,Batch,comment,HeatObservedBy,HeatDetectionMethod,HeatDetectionCertainty,HoursSinceObservedHeat,SemenType,SemenStorage,SemenUnitCost,TimeOfAI,SplitStraw,DateHeatDetected
169,85,21/08/91,NM,,,,,,,,,,,,,,
170,86,2/07/92,AI,87224,DCBA,,,,,,,,,,,,
171,86,14/08/92,NM,0,,,,,,,,,,,,,
172,86,23/06/91,AI,86279,DCBA,,,,,,,,,,,,
173,87,4/07/91,AI,83283,BOB,,,,,,,,,,,,
174,88,9/07/92,AI,88269,DCBA,,,,,,,,,,,,
175,88,25/07/92,NM,0,,,,,,,,,,,,,
176,88,30/07/92,NM,0,,,,,,,,,,,,,
177,88,6/07/91,AI,86279,DCBA,,,,,,,,,,,,
178,89,11/06/92,AI,86279,JILL,,,,,,,,,,,,
179,89,3/07/92,AI,87203,DCBA,,,,,,,,,,,,
180,89,19/06/91,AI,83283,DCBA,,,,,,,,,,,,
181,90,14/06/92,AI,87203,DCBA,,,,,,,,,,,,
182,90,5/06/91,AI,86279,DCBA,,,,,,,,,,,,
183,90,6/06/91,AI,86202,DCBA,,,,,,,,,,,,
184,91,5/06/92,AI,87224,DCBA,,,,,,,,,,,,
185,91,27/06/92,AI,87268,DCBA,,,,,,,,,,,,
186,91,21/07/92,NM,0,,,,,,,,,,,,,
187,91,22/06/91,AI,86279,DCBA,,,,,,,,,,,,
188,92,21/06/92,AI,87224,DCBA,,,,,,,,,,,,
189,92,16/07/92,NM,0,,,,,,,,,,,,,
190,92,13/08/92,NM,0,,,,,,,,,,,,,
191,92,5/06/91,AI,86279,DCBA,,,,,,,,,,,,
192,93,3/06/92,AI,87203,DCBA,,,,,,,,,,,,
193,93,21/06/92,AI,87224,DCBA,,,,,,,,,,,,
194,93,24/07/92,NM,0,,,,,,,,,,,,,
195,93,15/08/92,NM,0,,,,,,,,,,,,,
196,93,16/06/91,AI,85273,,,,,,,,,,,,,
197,93,9/07/91,AI,85273,JACK,,,,,,,,,,,,
198,94,20/06/92,AI,87203,DCBA,,,,,,,,,,,,
199,94,5/06/91,AI,83283,,,,,,,,,,,,,
200,94,28/06/91,AI,85203,DCBA,,,,,,,,,,,,
201,94,19/07/91,NM,,,,,,,,,,,,,,
202,95,23/06/92,AI,87224,DCBA,,,,,,,,,,,,
203,95,16/06/91,AI,85273,,,,,,,,,,,,,
204,96,30/07/92,NM,0,,,,,,,,,,,,,
205,96,17/06/91,AI,83283,,,,,,,,,,,,,
206,96,27/06/91,AI,85203,DCBA,,,,,,,,,,,,
207,96,17/07/91,NM,,,,,,,,,,,,,,
208,97,2/07/92,AI,87224,DCBA,,,,,,,,,,,,
209,97,14/06/91,AI,85273,,,,,,,,,,,,,
210,98,18/06/92,AI,87224,DCBA,,,,,,,,,,,,
211,98,9/07/92,AI,88269,DCBA,,,,,,,,,,,,
212,98,13/06/91,AI,85268,DCBA,,,,,,,,,,,,
213,99,3/06/92,AI,87203,DCBA,,,,,,,,,,,,
214,99,4/06/92,AI,87268,DCBA,,,,,,,,,,,,
215,99,8/06/91,AI,86279,DCBA,,,,,,,,,,,,
216,100,3/06/92,AI,87203,DCBA,,,,,,,,,,,,
217,100,6/07/92,AI,87224,DCBA,,,,,,,,,,,,
218,100,1/11/92,NM,,,,,,,,,,,,,,
219,100,6/06/91,AI,83283,,,,,,,,,,,,,
220,100,21/07/91,NM,,,,,,,,,,,,,,
221,101,21/06/93,AI,,DCBA,,,,,,,,,,,,
222,101,24/06/93,AI,88241,DCBA,,,,,,,,,,,,
223,101,11/07/93,AI,88269,DCBA,,,,,,,,,,,,
224,101,5/06/92,AI,87224,DCBA,,,,,,,,,,,,
225,101,3/08/92,NM,0,,,,,,,,,,,,,
226,101,6/06/91,AI,83283,,,,,,,,,,,,,
227,101,30/08/91,NM,,,,,,,,,,,,,,
228,102,5/06/91,AI,83283,,,,,,,,,,,,,
229,102,14/07/91,NM,,,,,,,,,,,,,,
230,103,10/06/93,AI,87203,DCBA,,,,,,,,,,,,
231,103,25/07/93,NM,,,,,,,,,,,,,,
232,103,13/06/92,AI,87203,DCBA,,,,,,,,,,,,
233,103,8/07/92,AI,88269,DCBA,,,,,,,,,,,,
234,103,20/07/92,NM,0,,,,,,,,,,,,,
235,103,8/06/91,AI,86279,DCBA,,,,,,,,,,,,
236,104,25/06/92,AI,87224,DCBA,,,,,,,,,,,,
237,104,18/07/92,NM,0,,,,,,,,,,,,,
238,104,9/06/91,AI,86279,DCBA,,,,,,,,,,,,
239,104,30/07/91,NM,,,,,,,,,,,,,,
240,105,22/06/93,AI,88241,DCBA,,,,,,,,,,,,
241,105,13/07/93,NM,,,,,,,,,,,,,,
242,105,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
243,105,13/06/92,AI,87203,DCBA,,,,,,,,,,,,
244,105,2/07/92,AI,87224,DCBA,,,,,,,,,,,,
245,105,23/07/92,NM,0,,,,,,,,,,,,,
246,105,19/06/91,AI,83283,,,,,,,,,,,,,
247,105,9/07/91,AI,85273,JACK,,,,,,,,,,,,
248,105,30/07/91,NM,,,,,,,,,,,,,,
249,106,20/06/92,AI,87203,DCBA,,,,,,,,,,,,
250,106,3/06/91,AI,86279,DCBA,,,,,,,,,,,,
251,107,16/06/92,AI,87224,DCBA,,,,,,,,,,,,
252,107,14/07/92,NM,0,,,,,,,,,,,,,
253,107,12/07/91,AI,85273,JACK,,,,,,,,,,,,
254,107,1/08/91,NM,,,,,,,,,,,,,,
255,108,1/06/93,AI,,DCBA,,,,,,,,,,,,
256,108,21/06/93,AI,87203,DCBA,,,,,,,,,,,,
257,108,12/07/93,AI,88241,DCBA,,,,,,,,,,,,
258,108,2/06/92,AI,87208,DCBA,,,,,,,,,,,,
259,108,21/06/92,AI,87224,DCBA,,,,,,,,,,,,
260,108,31/07/92,NM,0,,,,,,,,,,,,,
261,108,19/06/91,AI,83283,,,,,,,,,,,,,
262,108,25/06/91,AI,85203,,,,,,,,,,,,,
263,108,7/07/91,AI,86279,DCBA,,,,,,,,,,,,
264,108,27/07/91,NM,,,,,,,,,,,,,,
265,109,13/06/93,AI,88225,DCBA,,,,,,,,,,,,
266,109,23/06/93,AI,88241,DCBA,,,,,,,,,,,,
267,109,21/06/92,AI,87224,DCBA,,,,,,,,,,,,
268,109,3/08/92,NM,0,,,,,,,,,,,,,
269,109,23/08/92,NM,0,,,,,,,,,,,,,
270,109,17/06/91,AI,83283,,,,,,,,,,,,,
271,109,9/07/91,AI,85273,JACK,,,,,,,,,,,,
272,109,30/07/91,NM,,,,,,,,,,,,,,
273,110,11/06/93,AI,,DCBA,,,,,,,,,,,,
274,110,9/07/93,AI,88225,DCBA,,,,,,,,,,,,
275,110,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
276,111,15/06/93,AI,88269,DCBA,,,,,,,,,,,,
277,111,1/06/92,AI,87224,DCBA,,,,,,,,,,,,
278,111,2/06/91,AI,86279,DCBA,,,,,,,,,,,,
279,111,22/08/91,NM,,,,,,,,,,,,,,
280,112,6/06/93,AI,,DCBA,,,,,,,,,,,,
281,112,21/06/93,AI,,DCBA,,,,,,,,,,,,
282,112,8/07/93,AI,87203,DCBA,,,,,,,,,,,,
283,112,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
284,112,3/06/92,AI,87203,DCBA,,,,,,,,,,,,
285,112,4/06/91,AI,83283,DCBA,,,,,,,,,,,,
286,112,5/06/91,AI,86279,DCBA,,,,,,,,,,,,
287,113,19/06/92,AI,87203,DCBA,,,,,,,,,,,,
288,113,20/06/91,AI,85273,DCBA,,,,,,,,,,,,
289,114,12/06/93,AI,88225,DCBA,,,,,,,,,,,,
290,114,7/07/93,AI,87203,DCBA,,,,,,,,,,,,
291,114,26/07/93,NM,,,,,,,,,,,,,,
292,114,20/06/92,AI,87203,DCBA,,,,,,,,,,,,
293,114,18/06/91,AI,83283,DCBA,,,,,,,,,,,,
