CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,ObservedFM,AbortionCause,CalvingEase
118,101,17/03/93,NORMAL,,0,,,,,
119,101,5/03/92,NORMAL,,0,,,,,
120,101,4/03/91,NORMAL,,0,,,,,
121,102,8/04/93,INDUCE,,0,,,,,
122,102,22/04/92,NORMAL,,0,,,,,
123,102,29/03/91,NORMAL,,0,,,,,
124,103,3/05/93,NORMAL,,0,,,,,
125,103,3/03/92,NORMAL,,0,,,,,
126,103,1/05/91,NORMAL,,0,,,,,
127,104,22/04/93,NORMAL,,0,,,,,
128,104,11/05/92,NORMAL,,0,,,,,
129,104,1/04/91,NORMAL,,0,,,,,
130,105,3/05/93,NORMAL,,0,,,,,
131,105,3/05/92,NORMAL,,0,,,,,
132,105,8/04/91,NORMAL,,0,,,,,
133,106,15/03/93,NORMAL,,0,,,,,
134,106,11/03/92,NORMAL,,0,,,,,
135,106,5/03/91,NORMAL,,0,,,,,
136,107,17/04/93,NORMAL,,0,,,,,
137,107,13/05/92,NORMAL,,0,,,,,
138,107,20/04/91,NORMAL,,0,,,,,
139,108,9/05/93,NORMAL,,0,,,,,
140,108,29/04/92,NORMAL,,0,,,,,
141,108,19/04/91,NORMAL,,0,,,,,
142,109,18/05/93,NORMAL,,0,,,,,
143,109,5/05/92,NORMAL,,0,,,,,
144,109,12/04/91,NORMAL,,0,,,,,
145,110,2/04/93,NORMAL,,0,,,,,
146,110,29/09/91,NORMAL,,0,,,,,
148,111,15/03/93,NORMAL,,0,,,,,
149,111,2/04/92,INDUCE,,0,,,,,
150,111,7/03/91,NORMAL,,0,,,,,
151,112,13/03/93,NORMAL,,0,,,,,
152,112,24/03/92,NORMAL,,0,,,,,
153,113,22/03/93,NORMAL,,0,,,,,
154,113,24/03/92,NORMAL,,0,,,,,
155,113,26/03/91,NORMAL,,0,,,,,
157,114,28/03/93,NORMAL,,0,,,,,
158,114,23/03/92,NORMAL,,0,,,,,
159,114,19/04/91,NORMAL,,0,,,,,
160,115,6/03/93,NORMAL,MINOR,0,,,,,
161,115,17/03/92,NORMAL,,0,,,,,
162,115,28/03/91,INDUCE,,0,,,,,
163,116,8/05/93,NORMAL,,0,,,,,
164,116,16/03/92,NORMAL,,0,,,,,
165,116,21/03/91,INDUCE,,0,,,,,
166,117,20/03/93,NORMAL,,0,,,,,
167,117,7/03/92,NORMAL,MINOR,0,,,,,
168,118,3/04/93,NORMAL,MINOR,0,,,,,
169,118,10/04/92,NORMAL,,0,,,,,
