"joinKey","cowKey","jsDate","jeDate","joinSire","jsComment","jeComment"
"189","183","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"190","183","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"192","184","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"193","184","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"195","185","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"196","185","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"199","186","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"200","186","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"203","187","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"204","187","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"207","188","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"208","188","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"210","189","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"211","189","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"212","190","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"213","190","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"216","191","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"217","191","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"226","195","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"227","195","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"230","196","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"233","197","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"234","197","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"238","199","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"239","199","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"242","200","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"243","200","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"246","201","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"252","204","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"253","204","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"257","206","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"258","206","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"260","207","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"261","207","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"263","208","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"264","208","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"266","209","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"267","209","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"270","210","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"271","210","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"273","211","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"274","211","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"277","212","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"278","212","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"281","213","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"282","213","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"284","214","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"285","214","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"288","215","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"289","215","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"292","216","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"293","216","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"296","217","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"297","217","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"299","218","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"302","220","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"303","220","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"306","221","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"307","221","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"310","222","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"311","222","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"314","223","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"316","224","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"317","224","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"320","225","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"323","226","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"326","227","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"328","228","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"329","228","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"331","229","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"332","229","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"334","230","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"335","230","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"341","233","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"343","234","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"344","234","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"349","236","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"351","237","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"352","237","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"354","238","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"355","238","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"357","239","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"358","239","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"360","240","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
