LifetimeID,Name,PedigreeName,Breed,DamLifetimeID,SireLifetimeID,BWRel,FatRel,ProteinRel,MilkRel,WeightRel,SurvivalRel,BW,FatBV,ProteinBV,MilkBV,WeightBV,SurvivalBV,DateBWUpdated,FirstDateUsed,LastDateUsed,FatProtRel,FatProtABV,CodeID
"93243",,,,,,,,,,,,,,,,,,"11/08/98 00:00:00","11/08/98 00:00:00",,,,87
"93253","HIBI TROPHY EMISSARY          ",,,,"88",,,,,,69.6000,,,,,,35888.0000,"06/10/97 00:00:00","06/11/97 00:00:00",,,,88
"93262","ROLFES ELLIOT                 ",,,,"91.2",,,,,,96.9000,,,,,,35888.0000,"06/02/97 00:00:00","11/21/98 00:00:00",,,,89
"93263","SMITHS ELATION                ",,,,"87.8",,,,,,77.8000,,,,,,35888.0000,"06/07/97 00:00:00","07/04/97 00:00:00",,,,90
"93264",,,,,,,,,,,,,,,,,,"06/07/97 00:00:00","06/07/97 00:00:00",,,,91
"93270","LLOYDS EXCELLENCY             ",,,,"90",,,,,,79.9000,,,,,,35888.0000,"11/07/96 00:00:00","10/27/98 00:00:00",,,,92
"93278","O'BYRNES EAMONN               ",,,,"89.3",,,,,,89.7000,,,,,,35888.0000,"11/13/96 00:00:00","11/19/98 00:00:00",,,,93
"93279","ANCELLS ELROS                 ",,,,"89.9",,,,,,83.9000,,,,,,35888.0000,"10/27/97 00:00:00","10/27/97 00:00:00",,,,94
"93281",,,,,,,,,,,,,,,,,,"11/02/97 00:00:00","11/02/97 00:00:00",,,,95
"93291","ATHOL MURRAYS EMBLEM          ",,,,"89.7",,,,,,95.4000,,,,,,35888.0000,"11/04/96 00:00:00","11/17/96 00:00:00",,,,96
"93304","HALLVILLE EVEREST             ",,,,"88.7",,,,,,82.2000,,,,,,35888.0000,"06/06/97 00:00:00","07/22/97 00:00:00",,,,97
"94201","ETAZON US FAIRBANKS-ET        ",,,,"78.6",,,,,,65.2000,,,,,,35888.0000,"11/19/97 00:00:00","11/21/97 00:00:00",,,,98
"94203",,,,,,,,,,,,,,,,,,"06/01/98 00:00:00","07/14/98 00:00:00",,,,99
"94205","OAKENBOUND US FOREST-ET       ",,,,"84.6",,,,,,97.0000,,,,,,35888.0000,"11/10/97 00:00:00","10/31/98 00:00:00",,,,100
"942302",,,,,,,,,,,,,,,,,,"07/20/98 00:00:00","07/20/98 00:00:00",,,,101
"94241","BUCKLIN GANNON HOBO           ",,,,"85.6",,,,,,86.2000,,,,,,35888.0000,"10/29/97 00:00:00","11/29/97 00:00:00",,,,102
"94253",,,,,,,,,,,,,,,,,,"06/21/98 00:00:00","11/17/98 00:00:00",,,,103
"94262",,,,,,,,,,,,,,,,,,"07/20/98 00:00:00","07/20/98 00:00:00",,,,104
"94288",,,,,,,,,,,,,,,,,,"06/01/98 00:00:00","11/11/98 00:00:00",,,,105
"94302",,,,,,,,,,,,,,,,,,"07/07/98 00:00:00","07/08/98 00:00:00",,,,106
"94304",,,,,,,,,,,,,,,,,,"10/10/98 00:00:00","11/10/98 00:00:00",,,,107
"95323",,,,,,,,,,,,,,,,,,"10/23/98 00:00:00","11/13/98 00:00:00",,,,108
"FGVL-91-3",,,,,"57.3",,,,,,11.6000,,,,,,35888.0000,,,,,,109
"Gelbvieh",,,,,,,,,,,,,,,,,,"06/01/98 00:00:00","07/20/98 00:00:00",,,,110
