ExitKey,CowKey,EventDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3
273,273,"02/26/11 00:00:00","CULLED","FTC",,
274,274,"12/29/09 00:00:00","SOLD","UNKNWN",,
275,275,"06/13/10 00:00:00","CULLED","FTC",,
276,276,"02/01/11 00:00:00","SOLD","OTHERC",,
277,277,"09/26/09 00:00:00","DIED","JOHNES",,
278,278,"08/23/11 00:00:00","CULLED","LAMEREM",,
279,279,"12/03/10 00:00:00","CULLED",,,
280,280,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
281,281,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
282,282,"07/29/11 00:00:00","SOLD",,,
283,283,"12/29/09 00:00:00","SOLD","UNKNWN",,
284,284,"02/01/11 00:00:00","SOLD","OTHERC",,
285,285,"02/26/11 00:00:00","CULLED","FTC",,
286,286,"02/01/11 00:00:00","SOLD","OTHERC",,
287,287,"02/01/11 00:00:00","SOLD","OTHERC",,
288,288,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
289,289,"12/03/10 00:00:00","CULLED",,,
290,290,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
291,291,"06/13/10 00:00:00","CULLED","BEHAV","BADTYPE",
292,292,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
293,293,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
294,294,"03/01/11 00:00:00","SOLD","OTHERC",,
295,295,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
296,296,"01/11/10 00:00:00","SOLD","ABORT","MASTREM",
297,297,"08/31/11 00:00:00","SOLD",,,
298,298,"02/26/11 00:00:00","CULLED","FTC",,
299,299,"02/26/11 00:00:00","CULLED","FTC",,
300,300,"02/01/11 00:00:00","SOLD","OTHERC",,
301,301,"02/01/11 00:00:00","SOLD","OTHERC",,
302,302,"04/24/11 00:00:00","DIED","OTHERC",,
303,303,"07/29/11 00:00:00","SOLD",,,
304,304,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
305,305,"06/13/10 00:00:00","SOLD","FTC",,
306,306,"02/01/11 00:00:00","SOLD","OTHERC",,
307,307,"03/01/11 00:00:00","SOLD","OTHERC",,
308,308,"01/12/10 00:00:00","CULLED","FTC","MASTREM","LOWPRD"
309,309,"02/01/11 00:00:00","SOLD","OTHERC",,
310,310,"02/01/11 00:00:00","SOLD","OTHERC",,
311,311,"02/01/11 00:00:00","SOLD","OTHERC",,
312,312,"12/29/09 00:00:00","SOLD","UNKNWN",,
313,313,"02/01/11 00:00:00","SOLD","OTHERC",,
314,314,"03/01/11 00:00:00","SOLD","OTHERC",,
315,315,"11/01/07 00:00:00","CULLED","FTC",,
316,316,"11/01/07 00:00:00","CULLED","FTC",,
317,317,"10/31/07 00:00:00","CULLED","FTC",,
318,318,"10/31/07 00:00:00","CULLED","FTC",,
319,319,"10/31/07 00:00:00","CULLED","FTC",,
320,320,"10/31/07 00:00:00","CULLED","FTC",,
321,321,"02/01/11 00:00:00","SOLD","OTHERC",,
322,322,"02/01/11 00:00:00","SOLD","OTHERC",,
323,323,"07/22/11 00:00:00","CULLED","LOWPRD","HI CEL","UDR BD"
324,324,"07/29/11 00:00:00","SOLD",,,
325,325,"03/01/11 00:00:00","SOLD","OTHERC",,
326,326,"07/29/11 00:00:00","SOLD",,,
327,327,"04/24/10 00:00:00","DIED","DIFCLV","INJURY",
328,328,"07/29/11 00:00:00","SOLD",,,
329,329,"07/29/11 00:00:00","SOLD",,,
330,330,"03/01/11 00:00:00","SOLD","OTHERC",,
331,331,"03/01/11 00:00:00","SOLD","OTHERC",,
332,332,"06/13/10 00:00:00","CULLED","LAMEREM",,
333,333,"03/01/11 00:00:00","SOLD","OTHERC",,
334,334,"06/13/10 00:00:00","CULLED",,,
335,335,"02/01/11 00:00:00","SOLD","OTHERC",,
336,336,"02/01/11 00:00:00","SOLD","OTHERC",,
337,337,"02/01/11 00:00:00","SOLD","OTHERC",,
338,338,"03/01/11 00:00:00","SOLD","OTHERC",,
339,339,"06/13/10 00:00:00","CULLED","FTC",,
340,340,"08/31/11 00:00:00","SOLD",,,
341,341,"06/21/11 00:00:00","DIED","LAMEREM",,
342,342,"03/01/11 00:00:00","SOLD","OTHERC",,
343,343,"06/26/10 00:00:00","DIED","UNKNWN",,
