joinKey,cowKey,jsDate,jeDate,joinSire,jsComment,jeComment
424,263,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
427,264,"07/12/08 00:00:00","08/27/08 00:00:00",,,
428,264,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
431,265,"07/12/08 00:00:00","08/27/08 00:00:00",,,
432,265,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
434,266,"07/12/08 00:00:00","08/27/08 00:00:00",,,
435,266,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
438,267,"07/12/08 00:00:00","08/27/08 00:00:00",,,
439,267,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
442,268,"07/12/08 00:00:00","08/27/08 00:00:00",,,
443,268,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
448,270,"07/12/08 00:00:00","08/27/08 00:00:00",,,
451,271,"07/12/08 00:00:00","08/27/08 00:00:00",,,
452,271,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
454,272,"07/12/08 00:00:00","08/27/08 00:00:00",,,
457,273,"07/12/08 00:00:00","08/27/08 00:00:00",,,
459,274,"07/12/08 00:00:00","08/27/08 00:00:00",,,
461,275,"07/12/08 00:00:00","08/27/08 00:00:00",,,
464,276,"07/12/08 00:00:00","08/27/08 00:00:00",,,
465,277,"07/12/08 00:00:00","08/27/08 00:00:00",,,
468,278,"07/12/08 00:00:00","08/27/08 00:00:00",,,
471,279,"07/12/08 00:00:00","08/27/08 00:00:00",,,
472,279,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
473,280,"07/12/08 00:00:00","08/27/08 00:00:00",,,
475,280,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
477,281,"07/12/08 00:00:00","08/27/08 00:00:00",,,
480,282,"07/12/08 00:00:00","08/27/08 00:00:00",,,
482,283,"07/12/08 00:00:00","08/27/08 00:00:00",,,
485,284,"07/12/08 00:00:00","08/27/08 00:00:00",,,
490,286,"07/12/08 00:00:00","08/27/08 00:00:00",,,
493,287,"07/12/08 00:00:00","08/27/08 00:00:00",,,
495,288,"07/12/08 00:00:00","08/27/08 00:00:00",,,
496,288,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
499,289,"07/12/08 00:00:00","08/27/08 00:00:00",,,
500,289,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
502,290,"07/12/08 00:00:00","08/27/08 00:00:00",,,
505,292,"07/12/08 00:00:00","08/27/08 00:00:00",,,
507,293,"07/12/08 00:00:00","08/27/08 00:00:00",,,
508,293,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
511,294,"07/12/08 00:00:00","08/27/08 00:00:00",,,
513,295,"07/12/08 00:00:00","08/27/08 00:00:00",,,
514,295,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
516,296,"07/12/08 00:00:00","08/27/08 00:00:00",,,
521,298,"07/12/08 00:00:00","08/27/08 00:00:00",,,
524,299,"07/12/08 00:00:00","08/27/08 00:00:00",,,
525,299,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
528,300,"07/12/08 00:00:00","08/27/08 00:00:00",,,
533,302,"07/12/08 00:00:00","08/27/08 00:00:00",,,
534,302,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
538,304,"07/12/08 00:00:00","08/27/08 00:00:00",,,
539,304,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
546,308,"07/12/08 00:00:00","08/27/08 00:00:00",,,
547,308,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
550,309,"07/12/08 00:00:00","08/27/08 00:00:00",,,
551,309,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
557,312,"07/12/08 00:00:00","08/27/08 00:00:00",,,
558,312,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
605,466,"07/12/08 00:00:00","08/27/08 00:00:00",,,
606,466,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
610,469,"07/12/08 00:00:00","08/27/08 00:00:00",,,
611,469,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
614,470,"07/12/08 00:00:00","08/27/08 00:00:00",,,
615,470,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
620,474,"07/12/08 00:00:00","08/27/08 00:00:00",,,
621,474,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
627,481,"07/12/08 00:00:00","08/27/08 00:00:00",,,
628,481,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
632,485,"07/12/08 00:00:00","08/27/08 00:00:00",,,
635,486,"07/12/08 00:00:00","08/27/08 00:00:00",,,
638,487,"07/12/08 00:00:00","08/27/08 00:00:00",,,
639,487,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
642,488,"07/12/08 00:00:00","08/27/08 00:00:00",,,
645,490,"07/12/08 00:00:00","08/27/08 00:00:00",,,
646,490,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
651,493,"07/12/08 00:00:00","08/27/08 00:00:00",,,
652,493,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
655,494,"07/12/08 00:00:00","08/27/08 00:00:00",,,
658,495,"07/12/08 00:00:00","08/27/08 00:00:00",,,
659,495,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
662,496,"07/12/08 00:00:00","08/27/08 00:00:00",,,
663,496,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
666,497,"07/12/08 00:00:00","08/27/08 00:00:00",,,
671,501,"07/12/08 00:00:00","08/27/08 00:00:00",,,
674,502,"07/12/08 00:00:00","08/27/08 00:00:00",,,
675,502,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
678,503,"07/12/08 00:00:00","08/27/08 00:00:00",,,
681,504,"07/12/08 00:00:00","08/27/08 00:00:00",,,
684,506,"07/12/08 00:00:00","08/27/08 00:00:00",,,
685,506,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
688,507,"07/12/08 00:00:00","08/27/08 00:00:00",,,
693,509,"07/12/08 00:00:00","08/27/08 00:00:00",,,
694,509,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
701,513,"07/12/08 00:00:00","08/27/08 00:00:00",,,
704,514,"07/12/08 00:00:00","08/27/08 00:00:00",,,
709,517,"07/12/08 00:00:00","08/27/08 00:00:00",,,
710,517,"07/13/07 00:00:00","08/24/07 00:00:00",,,
715,519,"07/12/08 00:00:00","08/27/08 00:00:00",,,
716,519,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
725,527,"07/12/08 00:00:00","08/27/08 00:00:00",,,
726,527,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
729,528,"07/12/08 00:00:00","08/27/08 00:00:00",,,
730,528,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
734,535,"07/12/08 00:00:00","08/27/08 00:00:00",,,
735,535,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
740,544,"07/12/08 00:00:00","08/27/08 00:00:00",,,
741,544,"07/13/07 00:00:00","08/24/07 00:00:00","000000",,
