CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,ObservedFM,AbortionCause,CalvingEase
324,520,16/09/1995,NORMAL,,0,,,,,
325,521,5/08/1997,NORMAL,,0,,,,,
326,522,12/08/1997,NORMAL,,0,,,,,
327,523,30/07/1997,NORMAL,,0,,,,,
328,524,2/10/1997,INDUCE,,0,,,,,
329,525,2/08/1997,NORMAL,,0,,,,,
330,526,3/08/1997,NORMAL,,0,,,,,
331,527,6/08/1997,NORMAL,,0,,,,,
332,528,24/08/1997,NORMAL,,0,,,,,
333,529,26/08/1997,NORMAL,,0,,,,,
334,530,2/09/1997,NORMAL,,0,,,,,
335,531,20/08/1997,NORMAL,,0,,,,,
336,532,15/08/1997,NORMAL,,0,,,,,
337,533,28/08/1997,NORMAL,,0,,,,,
338,293,14/08/1998,NORMAL,,0,,,,,
339,509,14/08/1998,NORMAL,,0,,,,,
340,494,14/08/1998,NORMAL,,0,,,,,
342,458,15/08/1998,INDUCE,,0,,,,,
343,469,15/08/1998,NORMAL,,0,,,,,
344,383,15/08/1998,NORMAL,,0,,,,,
345,514,15/08/1998,NORMAL,,0,,,,,
348,284,16/08/1998,NORMAL,,0,,,,,
350,495,17/08/1998,NORMAL,,0,,,,,
352,244,17/08/1998,NORMAL,,0,,,,,
354,384,17/08/1998,Normal,MINOR,0,,,,,
355,336,18/08/1998,NORMAL,,0,,,,,
357,486,18/08/1998,INDUCE,MINOR,0,,,,,
360,252,18/08/1998,Normal,,0,,,,,
362,426,18/08/1998,NORMAL,MINOR,0,,,,,
363,429,19/08/1998,NORMAL,,0,,,,,
364,423,20/08/1998,NORMAL,,0,,,,,
365,388,20/08/1998,NORMAL,,0,,,,,
366,451,21/08/1998,NORMAL,,0,,,,,
367,233,12/08/1998,INDUCE,,0,,,,,
368,241,12/08/1998,INDUCE,,0,,,,,
369,314,13/08/1998,INDUCE,,0,,,,,
370,344,13/08/1998,INDUCE,,0,,,,,
371,390,13/08/1998,INDUCE,,0,,,,,
372,340,13/08/1998,INDUCE,MINOR,0,,,,,
373,473,12/08/1998,INDUCE,,0,,,,,
374,237,13/08/1998,INDUCE,,0,,,,,
375,407,23/08/1998,NORMAL,,0,,,,,
376,519,23/08/1998,NORMAL,,0,,,,,
377,424,24/08/1998,NORMAL,,0,,,,,
378,308,24/08/1998,NORMAL,,0,,,,,
379,435,24/08/1998,NORMAL,,0,,,,,
380,416,24/08/1998,NORMAL,MINOR,0,,,,,
381,224,24/08/1998,NORMAL,MINOR,0,,,,,
382,207,24/08/1998,NORMAL,,0,,,,,
384,414,26/08/1998,NORMAL,,0,,,,,
386,450,27/08/1998,NORMAL,,0,,,,,
387,256,29/08/1998,NORMAL,,0,,,,,
388,356,28/08/1998,NORMAL,,0,,,,,
389,391,29/08/1998,INDUCE,,0,,,,,
390,263,30/08/1998,NORMAL,,0,,,,,
391,275,30/08/1998,NORMAL,,0,,,,,
392,357,30/08/1998,NORMAL,,0,,,,,
394,305,31/08/1998,NORMAL,,0,,,,,
395,452,31/08/1998,NORMAL,,0,,,,,
396,434,1/09/1998,NORMAL,,0,,,,,
397,273,1/09/1998,NORMAL,,0,,,,,
398,512,2/09/1998,NORMAL,,0,,,,,
399,415,2/09/1998,NORMAL,,0,,,,,
400,408,2/09/1998,NORMAL,,0,,,,,
402,511,2/09/1998,INDUCE,,0,,,,,
403,518,3/09/1998,NORMAL,,0,,,,,
404,398,4/09/1998,INDUCE,,0,,,,,
405,70,7/08/1998,,NONE,0,,,,,
406,71,12/08/1998,,NONE,0,,,,,
407,204,3/08/1998,INDUCE,NONE,0,,,,,
408,212,28/07/1998,,MINOR,0,,,,,
409,216,12/08/1998,,NONE,0,,,,,
410,225,13/08/1998,,NONE,0,,,,,
411,627,9/08/1998,NORMAL,NONE,0,,,,,
412,246,1/08/1998,INDUCE,NONE,0,,,,,
413,249,5/08/1998,,NONE,0,,,,,
414,251,10/08/1998,INDUCE,NONE,0,,,,,
415,260,11/08/1998,,NONE,0,,,,,
416,261,7/08/1998,,NONE,0,,,,,
417,54,25/07/1998,,NONE,0,,,,,
418,265,31/07/1998,,NONE,0,,,,,
419,15,6/08/1998,,NONE,0,,,,,
420,277,1/08/1998,INDUCE,NONE,0,,,,,
421,278,6/08/1998,,NONE,0,,,,,
422,279,4/08/1998,,NONE,0,,,,,
423,44,29/07/1998,,NONE,0,,,,,
424,286,31/07/1998,,MAJOR,0,,,,,
425,291,31/07/1998,,NONE,0,,,,,
426,294,2/08/1998,,MINOR,0,,,,,
427,295,2/08/1998,,NONE,0,,,,,
428,297,1/08/1998,INDUCE,NONE,0,,,,,
429,628,3/08/1997,NORMAL,,0,,,,,
430,300,1/08/1998,INDUCE,NONE,0,,,,,
431,301,9/08/1998,INDUCE,NONE,0,,,,,
432,311,1/08/1998,INDUCE,NONE,0,,,,,
433,312,30/07/1998,,NONE,0,,,,,
434,318,1/08/1998,INDUCE,MINOR,0,,,,,
435,322,2/08/1998,INDUCE,NONE,0,,,,,
436,323,7/08/1998,,NONE,0,,,,,
437,324,2/08/1998,,NONE,0,,,,,
438,325,4/08/1998,,NONE,0,,,,,
439,326,5/08/1998,,NONE,0,,,,,
440,329,28/07/1998,,MAJOR,0,,,,,
441,330,31/07/1998,,NONE,0,,,,,
442,333,13/08/1998,,NONE,0,,,,,
443,339,7/08/1998,,NONE,0,,,,,
444,342,12/08/1998,,NONE,0,,,,,
