"ProdKey","CowKey","testDate","LTDDate","HTFatPC","HTProtPC","HTLitreAM","HTLitrePM","HTLitreTot","LtdLitre","LtdFatKg","LtdProtKg","SCC","LW","LWRel","PayPW","PayPWRel","AbCode","Assessed","Withheld","comment","LtdDays","LtdVol305","LtdVolEx","LtdFatKg305","LtdFatKgEx","LtdProtKg305","LtdProtKgEx"
906,286,"2/02/1999","17/02/1999",0.0524,0.0361,7.8,4.1,11.9,3466.3,171.88,123.23,83,-53.6,,-19.2,73,0,"0","","",199,,,,,,
907,36,"2/02/1999","17/02/1999",0.0462,0.0328,9.6,5.2,14.8,3368.6,155.95,109.98,19,113.2,,77.9,52.6,0,"0","","",182,,,,,,
908,24,"2/02/1999","17/02/1999",0.0438,0.0303,9,5,14,3641.4,153.66,112.49,33,70.1,,59.6,52.1,0,"0","","",196,,,,,,
909,291,"2/02/1999","17/02/1999",0.0478,0.0384,8.4,5.2,13.6,3967.2,203.04,148.55,146,52.5,,26.9,77.4,0,"0","","",199,,,,,,
910,293,"2/02/1999","17/02/1999",0.0417,0.0317,13.2,7,20.2,4720,170.75,147.46,16,119.3,,97.9,63.8,0,"0","","",185,,,,,,
911,294,"2/02/1999","17/02/1999",0.0507,0.0348,12.1,6.9,19,4457,213.53,155.57,7,157.7,,90.8,69.2,0,"0","","",197,,,,,,
912,295,"2/02/1999","17/02/1999",0.0577,0.0378,9.6,5.8,15.4,4356.8,240.45,159.5,112,135.5,,57.9,77.4,0,"0","","",197,,,,,,
913,296,"2/02/1999","17/02/1999",0.0581,0.0325,9,6.9,15.9,3797.1,188.26,130.93,62,77.4,,53.6,77.9,0,"0","","",163,,,,,,
914,297,"2/02/1999","17/02/1999",0.0545,0.0361,8.1,5.3,13.4,4139.8,211.02,145.02,23,47.8,,21,75.9,0,"0","","",198,,,,,,
915,628,"2/02/1999","17/02/1999",0.0545,0.0322,8.7,6.3,15,4109.6,209.53,133.42,68,60.4,,32,79.5,0,"0","","",179,,,,,,
916,299,"2/02/1999","17/02/1999",0.0395,0.0314,8.8,6.5,15.3,3126.3,129.13,102.67,21,12.8,,44.6,68.1,0,"0","","",135,,,,,,
917,300,"2/02/1999","17/02/1999",0.0485,0.0347,10.2,7.6,17.8,4427.1,186.58,148.7,32,92,,64.1,69.3,0,"0","","",198,,,,,,
918,301,"2/02/1999","17/02/1999",0.05,0.0343,10.7,6.3,17,4445.2,211.11,152.6,28,97.1,,32.7,76.2,0,"0","","",190,,,,,,
919,302,"2/02/1999","17/02/1999",0.0358,0.0337,11.7,8.2,19.9,4203.3,174.02,146.75,756,135.2,,95.9,68.8,0,"0","","",163,,,,,,
920,46,"2/02/1999","17/02/1999",0.0362,0.0285,10.7,7.2,17.9,3755.9,136.6,112.32,88,48,,54.5,52.4,0,"0","","",193,,,,,,
921,305,"2/02/1999","17/02/1999",0.0507,0.0329,7.2,9.3,16.5,3459.6,171.43,114.99,24,,,19.8,75.9,0,"0","","",168,,,,,,
922,306,"2/02/1999","17/02/1999",0.0444,0.0305,13.3,5,18.3,4959.8,224.1,148.18,329,33.8,,19.2,77.8,0,"0","","",194,,,,,,
923,307,"2/02/1999","17/02/1999",0.0408,0.0319,15.1,9.6,24.7,5480.2,209.84,173.41,16,172.4,,97.4,69.6,0,"0","","",188,,,,,,
924,308,"2/02/1999","17/02/1999",0.0484,0.0326,10.5,6,16.5,4152.9,190.96,128.94,193,,,-20.5,77.9,0,"0","","",175,,,,,,
925,311,"2/02/1999","17/02/1999",0.0465,0.0338,11.3,7,18.3,4142.8,195.42,144.41,36,193.3,,129.1,63.8,0,"0","","",198,,,,,,
926,21,"2/02/1999","17/02/1999",0.0499,0.0339,7.1,3.8,10.9,2528.9,117.75,83.03,148,-15.3,,20.2,48,0,"0","","",184,,,,,,
927,314,"2/02/1999","17/02/1999",0.0421,0.0318,9.5,7.2,16.7,4811.7,204.99,156.79,326,,,118.4,75.9,0,"0","","",186,,,,,,
928,31,"2/02/1999","17/02/1999",0.0362,0.0313,8.6,5.1,13.7,3153.1,126.55,103.14,26,52.8,,64,51.5,0,"0","","",164,,,,,,
929,317,"2/02/1999","17/02/1999",0.0393,0.0324,11.7,7.6,19.3,4784.3,177.68,156.17,13,121.3,,69.9,63.7,0,"0","","",201,,,,,,
930,318,"2/02/1999","17/02/1999",0.0543,0.0396,6.3,4.7,11,2861.6,146.37,104.88,193,0,,3.7,76.4,0,"0","","",198,,,,,,
931,27,"2/02/1999","17/02/1999",0.0407,0.0329,9.2,5.2,14.4,3605.8,133.87,121.04,18,105.9,,93.6,52.6,0,"0","","",187,,,,,,
932,59,"2/02/1999","17/02/1999",0.0473,0.0353,7.6,4.2,11.8,3000.1,138.39,103.71,123,76.3,,71.7,52.5,0,"0","","",190,,,,,,
933,322,"2/02/1999","17/02/1999",0.0447,0.0318,10,5.5,15.5,4446.5,178.96,136.89,138,-43.9,,-17.1,75.5,0,"0","","",197,,,,,,
934,323,"2/02/1999","17/02/1999",0.0513,0.0343,11.2,7.9,19.1,4447.2,217.48,155.9,113,199.7,,85.7,76.4,0,"0","","",192,,,,,,
935,324,"2/02/1999","17/02/1999",0.0499,0.0347,10.2,5.5,15.7,4037.9,191.17,136.8,41,-15.8,,-20.3,75.7,0,"0","","",197,,,,,,
936,325,"2/02/1999","17/02/1999",0.0462,0.0383,6,5.5,11.5,3147.9,134.19,112.97,16,-47.5,,29.2,76.2,0,"0","","",195,,,,,,
937,326,"2/02/1999","17/02/1999",0.0519,0.0354,12.9,7.2,20.1,4670,248.27,161.11,22,192.6,,112.2,72.9,0,"0","","",194,,,,,,
938,329,"2/02/1999","17/02/1999",0.0412,0.0321,11.2,8,19.2,5004.9,176.11,158.95,61,29.9,,49.7,74.5,0,"0","","",202,,,,,,
939,330,"2/02/1999","17/02/1999",0.0491,0.032,11.7,6.5,18.2,4686.8,214.26,149.33,40,65.2,,49,73.7,0,"0","","",199,,,,,,
940,331,"2/02/1999","17/02/1999",0.0414,0.0323,12.6,7.5,20.1,4995,205.88,163.52,94,136.1,,43.2,69.3,0,"0","","",190,,,,,,
941,332,"2/02/1999","17/02/1999",0.0481,0.0305,12.6,8.8,21.4,4214.4,187.14,131.83,16,118.1,,50.2,72.2,0,"0","","",150,,,,,,
942,333,"2/02/1999","17/02/1999",0.0458,0.0313,12.8,7.8,20.6,4911.4,228.74,159.67,68,107,,53.6,76.2,0,"0","","",186,,,,,,
943,334,"2/02/1999","17/02/1999",0.0418,0.0335,14.1,8.3,22.4,3602.4,168.72,127.65,77,184,,119.2,76.1,0,"0","","",133,,,,,,
944,335,"2/02/1999","17/02/1999",0.0537,0.0343,10.6,6,16.6,3823.2,190.87,133.67,104,24.7,,29.3,73.6,0,"0","","",196,,,,,,
945,336,"2/02/1999","17/02/1999",0.06,0.0385,8.3,4.4,12.7,3002.7,162.71,109.84,169,,,19.2,77.2,0,"0","","",181,,,,,,
946,337,"2/02/1999","17/02/1999",0.053,0.0345,10.7,6.3,17,3783.4,192.22,132.06,55,11.2,,-9.7,72.9,0,"0","","",195,,,,,,
947,338,"2/02/1999","17/02/1999",0.047,0.0314,10.3,6.3,16.6,3810.6,181.44,125.9,21,55.2,,29.6,76.3,0,"0","","",174,,,,,,
948,339,"2/02/1999","17/02/1999",0.0413,0.0324,9.1,7,16.1,4188.7,148.99,130.85,44,-76.6,,10.2,76.4,0,"0","","",192,,,,,,
949,340,"2/02/1999","17/02/1999",0.0487,0.0359,7.9,5.2,13.1,3160.4,150.41,116.39,33,,,74.8,75.9,0,"0","","",186,,,,,,
950,675,"2/02/1999","17/02/1999",0.0464,0.0344,9.2,6.2,15.4,3184.8,149.12,111.44,21,-7.8,,20,75.5,0,"0","","",172,,,,,,
951,342,"2/02/1999","17/02/1999",0.0509,0.0329,10.4,6.9,17.3,4617.1,205.85,146.35,32,62.5,,49.6,77.7,0,"0","","",187,,,,,,
952,344,"2/02/1999","17/02/1999",0.0413,0.0341,8.4,6,14.4,3112.9,122.04,107.44,127,,,28.5,60.3,0,"0","","",186,,,,,,
953,674,"2/02/1999","17/02/1999",0.0475,0.0321,8,4.4,12.4,3240.5,147.23,101.41,29,75.2,,35.4,51,0,"0","","",206,,,,,,
954,351,"2/02/1999","17/02/1999",0.0485,0.0337,11.2,7.5,18.7,4620.9,195.86,148.04,56,6.9,,13.4,76.1,0,"0","","",201,,,,,,
955,354,"2/02/1999","17/02/1999",0.0545,0.0345,10.6,6.8,17.4,4873,226.8,161.06,27,107.1,,26,73,0,"0","","",195,,,,,,
956,355,"2/02/1999","17/02/1999",0.0495,0.0395,5.8,6.2,12,2807.4,116.72,109.51,188,-10.2,,89.7,77.5,0,"0","","",193,,,,,,
957,356,"2/02/1999","17/02/1999",0.0449,0.0351,11.6,8.2,19.8,4316.8,194.72,146.84,31,,,65,75.8,0,"0","","",171,,,,,,
958,357,"2/02/1999","17/02/1999",0.0394,0.0337,12.3,7.3,19.6,4324.6,164.76,147.98,90,,,56.3,72.3,0,"0","","",169,,,,,,
959,42,"2/02/1999","17/02/1999",0.0378,0.0308,10.7,7.2,17.9,3008.3,118.69,89.68,16,66.2,,58.3,50.3,0,"0","","",128,,,,,,
960,68,"2/02/1999","17/02/1999",0.0433,0.0313,8.1,5.2,13.3,3429.6,135.27,110.56,27,53.7,,52,52.4,0,"0","","",192,,,,,,
961,360,"2/02/1999","17/02/1999",0.0494,0.0328,10.7,6.6,17.3,4829.1,232.31,162.13,16,126.5,,57.5,73.1,0,"0","","",190,,,,,,
962,50,"2/02/1999","17/02/1999",0.0453,0.0305,8.8,6.6,15.4,4300.8,177.96,124.74,103,134.2,,82.3,52.4,0,"0","","",192,,,,,,
963,19,"2/02/1999","17/02/1999",0.042,0.0337,9.4,4.9,14.3,3076.8,124.6,101.95,25,53.1,,47,52.4,0,"0","","",176,,,,,,
964,367,"2/02/1999","17/02/1999",0.0483,0.032,8.7,6,14.7,4325.6,209.28,135.03,95,102.7,,43.8,63.9,0,"0","","",198,,,,,,
965,676,"2/02/1999","17/02/1999",0.039,0.0276,10.6,3.8,14.4,3916.2,126.73,109.58,12,-192.7,,-57.1,79.4,0,"0","","",183,,,,,,
966,372,"2/02/1999","17/02/1999",0.0473,0.0349,8.5,5.3,13.8,3838.6,178.29,134.79,24,-21,,-9.8,77.5,0,"0","","",197,,,,,,
967,373,"2/02/1999","17/02/1999",0.0468,0.034,10.2,6,16.2,3794.9,163.32,131.77,24,4.9,,30.3,69.2,0,"0","","",194,,,,,,
968,374,"2/02/1999","17/02/1999",0.0568,0.0342,9.4,7.5,16.9,3255.1,177.13,115.79,13,14.9,,0.2,77.8,0,"0","","",164,,,,,,
969,375,"2/02/1999","17/02/1999",0.0543,0.0346,9.6,6.7,16.3,4307.6,200.02,142.53,28,157.9,,97.5,63.6,0,"0","","",192,,,,,,
970,58,"2/02/1999","17/02/1999",0.0492,0.0316,9,5.9,14.9,3162.8,142.81,102.83,30,75.8,,74.4,52.1,0,"0","","",162,,,,,,
971,378,"2/02/1999","17/02/1999",0.0561,0.0371,9.3,5.8,15.1,3835.2,186.62,140.88,83,145,,90.4,77.5,0,"0","","",192,,,,,,
972,26,"2/02/1999","17/02/1999",0.0458,0.0346,10,6.1,16.1,3692.7,151.03,126.36,10,156.2,,105.2,52.3,0,"0","","",195,,,,,,
973,10,"2/02/1999","17/02/1999",0.0445,0.033,8.7,5.8,14.5,2978.1,124.83,101.9,15,77.6,,82.5,51.8,0,"0","","",175,,,,,,
974,383,"2/02/1999","17/02/1999",0.0479,0.0365,10.2,6.2,16.4,3829,181.19,133.51,167,,,64.3,75.7,0,"0","","",184,,,,,,
975,384,"2/02/1999","17/02/1999",0.0449,0.0353,11,8,19,4880.5,230.56,168.72,36,,,133.3,75.7,0,"0","","",182,,,,,,
976,387,"2/02/1999","17/02/1999",0.052,0.0365,9.6,6.9,16.5,5365.1,266.1,186.79,216,244.9,,82.7,77.9,0,"0","","",195,,,,,,
977,388,"2/02/1999","17/02/1999",0.0521,0.0376,12.4,7.4,19.8,4683,242.96,161.59,20,,,111.4,76,0,"0","","",179,,,,,,
978,390,"2/02/1999","17/02/1999",0.0534,0.038,6.3,6.6,12.9,3421.9,143.06,120.35,34,,,-4.1,75.1,0,"0","","",186,,,,,,
979,391,"2/02/1999","17/02/1999",0.0487,0.0348,11.8,7.3,19.1,4075.8,194.63,140.81,156,,,71,75.9,0,"0","","",170,,,,,,
980,392,"2/02/1999","17/02/1999",0.0418,0.0336,11.1,3.8,14.9,4073,169.44,139.47,21,36.9,,71.6,69.5,0,"0","","",196,,,,,,
981,394,"2/02/1999","17/02/1999",0.0484,0.0331,8.1,5.6,13.7,3532.1,157.34,115.15,17,28.2,,20.9,62.6,0,"0","","",203,,,,,,
982,395,"2/02/1999","17/02/1999",0.0499,0.0347,9.3,8,17.3,4402.3,209.08,145.99,17,79.4,,69.9,72.9,0,"0","","",193,,,,,,
983,396,"2/02/1999","17/02/1999",0.0419,0.0325,10.4,7.3,17.7,4365.4,187.19,148.07,15,112,,66.2,76.2,0,"0","","",162,,,,,,
984,398,"2/02/1999","17/02/1999",0.0409,0.0313,9.5,6.8,16.3,4005.4,159.33,127.76,35,,,74.6,61.1,0,"0","","",164,,,,,,
985,399,"2/02/1999","17/02/1999",0.0444,0.0355,11,6.8,17.8,4630.8,202.97,161.01,18,121.6,,92.5,72.8,0,"0","","",190,,,,,,
986,77,"2/02/1999","17/02/1999",0.048,0.0349,7.2,4.2,11.4,2697,123.34,93.93,30,11.8,,23.1,52.5,0,"0","","",174,,,,,,
987,401,"2/02/1999","17/02/1999",0.0423,0.0333,10.5,4.1,14.6,3873.2,164.11,124.74,28,-63.7,,-19.9,78.1,0,"0","","",188,,,,,,
988,403,"2/02/1999","17/02/1999",0.047,0.0342,10.1,7.4,17.5,4602.5,177.54,154.56,111,30.2,,23.4,77.5,0,"0","","",197,,,,,,
989,404,"2/02/1999","17/02/1999",0.0407,0.0315,8.1,5.5,13.6,3694.2,155.2,121.59,26,4.2,,6.2,60.1,0,"0","","",198,,,,,,
990,23,"2/02/1999","17/02/1999",0.0442,0.0308,9.3,6,15.3,3181.9,141.56,100,18,57.5,,63.7,51.6,0,"0","","",194,,,,,,
991,407,"2/02/1999","17/02/1999",0.0439,0.0308,10.4,6.9,17.3,4053.5,167.71,124.96,85,,,19.4,75.2,0,"0","","",176,,,,,,
992,65,"2/02/1999","17/02/1999",0.0434,0.0307,7.7,4.4,12.1,3102.4,133.31,96.22,16,2.2,,29.4,51.8,0,"0","","",188,,,,,,
993,411,"2/02/1999","17/02/1999",0.042,0.0348,13,8,21,5150.6,197.07,177.23,17,161.3,,139.9,73.6,0,"0","","",190,,,,,,
994,413,"2/02/1999","17/02/1999",0.0561,0.0363,9.1,6,15.1,3730.7,189.84,134.92,20,157.7,,86.1,63.8,0,"0","","",197,,,,,,
995,414,"2/02/1999","17/02/1999",0.0438,0.0367,7,7.6,14.6,4401.8,198.79,145.03,52,98.8,,41,76.3,0,"0","","",198,,,,,,
