vreKey,cowKey,vreDate,reason,diagnosis,extra,vetKey,comment
274,825,2016-06-24,,Yes,,,
275,826,2016-06-24,,-,,,
276,827,2016-05-24,,-,,,
277,831,2016-06-24,,Yes,,,
278,832,2016-06-24,,-,,,
279,833,2016-05-24,,-,,,
280,835,2016-06-24,,-,,,
281,837,2016-06-24,,Yes,,,
282,840,2016-05-24,,-,,,
283,845,2016-06-24,,Yes,,,
284,847,2016-06-24,,-,,,
285,849,2016-06-24,,-,,,
286,851,2016-06-24,,-,,,
287,852,2016-06-24,,Yes,,,
288,855,2016-06-24,,Yes,,,
289,856,2016-05-24,,-,,,
290,858,2016-06-24,,Yes,,,
291,859,2016-05-24,,-,,,
292,860,2016-06-24,,Yes,,,
293,861,2016-06-24,,Yes,,,
294,862,2016-06-24,,Yes,,,
295,864,2016-06-24,,Yes,,,
296,865,2016-06-24,,Yes,,,
297,867,2016-06-24,,-,,,
298,868,2016-06-24,,-,,,
299,871,2016-06-24,,-,,,
300,876,2016-06-24,,-,,,
301,877,2016-06-24,,-,,,
302,878,2016-06-24,,Yes,,,
303,882,2016-06-24,,-,,,
304,884,2016-06-24,,Yes,,,
305,885,2016-06-24,,Yes,,,
306,887,2016-06-24,,Yes,,,
307,889,2016-06-24,,-,,,
308,892,2016-06-24,,Yes,,,
309,893,2016-05-24,,-,,,
310,896,2016-06-24,,-,,,
311,897,2016-06-24,,-,,,
312,899,2016-06-24,,-,,,
313,908,2016-06-24,,Yes,,,
314,910,2016-06-24,,Yes,,,
315,917,2016-06-24,,-,,,
316,918,2016-06-24,,Yes,,,
317,919,2016-06-24,,Yes,,,
318,920,2016-06-24,,Yes,,,
319,921,2016-06-24,,-,,,
320,924,2016-06-24,,Yes,,,
321,927,2016-06-24,,Yes,,,
322,950,2016-06-24,,Yes,,,
323,951,2016-06-24,,Yes,,,
324,953,2016-06-24,,Yes,,,
325,957,2016-06-24,,-,,,
326,959,2016-06-24,,Yes,,,
327,961,2016-06-24,,Yes,,,
328,965,2016-06-24,,Yes,,,
329,968,2016-05-24,,-,,,
330,969,2016-06-24,,Yes,,,
331,970,2016-05-24,,-,,,
332,971,2016-06-24,,Yes,,,
333,972,2016-06-24,,Yes,,,
334,973,2016-06-24,,Yes,,,
335,974,2016-05-24,,-,,,
336,976,2016-06-24,,Yes,,,
337,977,2016-06-24,,Yes,,,
338,982,2016-06-24,,Yes,,,
339,986,2016-06-24,,Yes,,,
340,989,2016-06-24,,Yes,,,
341,990,2016-05-24,,-,,,
342,993,2016-06-24,,Yes,,,
343,998,2016-06-24,,Yes,,,
344,1006,2016-06-24,,Yes,,,
345,1010,2016-06-24,,Yes,,,
346,1019,2016-06-24,,Yes,,,
347,1023,2016-06-24,,Yes,,,
348,4517,2016-06-24,,Yes,,,
349,1026,2016-06-24,,Yes,,,
350,1028,2016-05-24,,-,,,
351,1029,2016-05-24,,-,,,
352,1031,2016-05-24,,-,,,
353,1032,2016-06-24,,Yes,,,
354,1033,2016-05-24,,-,,,
355,1036,2016-06-24,,Yes,,,
356,1037,2016-06-24,,Yes,,,
357,1042,2016-05-24,,-,,,
358,1043,2016-06-24,,Yes,,,
359,1044,2016-06-24,,Yes,,,
360,1049,2016-06-24,,Yes,,,
361,1050,2016-06-24,,Yes,,,
362,1056,2016-06-24,,Yes,,,
363,1058,2016-06-24,,Yes,,,
364,1059,2016-05-24,,-,,,
365,1063,2016-05-24,,-,,,
366,1065,2016-06-24,,Yes,,,
367,1069,2016-05-24,,-,,,
368,1074,2016-05-24,,-,,,
369,1076,2016-06-24,,Yes,,,
370,1077,2016-05-24,,-,,,
371,1079,2016-06-24,,Yes,,,
372,1080,2016-05-24,,-,,,
373,1085,2016-05-24,,-,,,
374,1086,2016-06-24,,Yes,,,
375,1087,2016-06-24,,Yes,,,
376,1093,2016-06-24,,Yes,,,
377,1098,2016-05-24,,-,,,
378,1102,2016-06-24,,Yes,,,
379,1113,2016-03-01,,Yes,,,
380,1115,2013-04-23,,Yes,,,
381,1120,2016-06-24,,Yes,,,
382,1123,2016-05-24,,-,,,
383,1125,2016-06-24,,-,,,
384,1126,2016-06-24,,Yes,,,
385,1127,2016-06-24,,-,,,
386,1132,2016-05-24,,-,,,
387,1140,2016-06-24,,-,,,
388,1149,2016-06-24,,Yes,,,
389,1151,2016-06-24,,Yes,,,
390,1155,2016-06-24,,Yes,,,
391,1158,2016-06-24,,-,,,
392,1161,2016-06-24,,Yes,,,
393,1170,2016-06-24,,-,,,
394,1171,2016-06-24,,Yes,,,
395,1173,2016-06-24,,Yes,,,
396,1175,2016-06-24,,-,,,
397,1179,2016-06-24,,Yes,,,
398,1182,2016-06-24,,Yes,,,
399,1186,2016-06-24,,Yes,,,
400,1199,2016-06-24,,Yes,,,
401,1201,2016-06-24,,-,,,
402,1203,2016-05-24,,-,,,
403,1206,2016-06-24,,Yes,,,
404,1209,2016-06-24,,Yes,,,
405,1212,2016-06-24,,Yes,,,
406,1220,2016-06-24,,Yes,,,
407,1236,2016-06-24,,-,,,
408,1237,2016-06-24,,Yes,,,
409,1238,2016-06-24,,Yes,,,
410,1239,2016-06-24,,Yes,,,
411,1240,2016-06-24,,-,,,
412,1241,2016-06-24,,Yes,,,
413,1244,2016-06-24,,-,,,
414,1247,2016-06-24,,-,,,
415,1250,2016-06-24,,-,,,
416,1255,2016-06-24,,Yes,,,
417,1256,2016-06-24,,-,,,
418,1257,2016-06-24,,Yes,,,
419,1258,2016-06-24,,-,,,
420,1260,2016-06-24,,-,,,
421,1263,2016-06-24,,-,,,
422,1266,2016-06-24,,Yes,,,
423,1269,2016-05-24,,-,,,
424,1270,2016-06-24,,Yes,,,
425,1271,2016-06-24,,-,,,
426,1272,2016-06-24,,-,,,
427,1279,2016-06-24,,-,,,
428,1280,2016-06-24,,Yes,,,
429,1283,2016-06-24,,Yes,,,
430,1284,2016-06-24,,Yes,,,
431,1285,2016-06-24,,-,,,
432,1286,2016-06-24,,-,,,
433,1288,2016-06-24,,Yes,,,
434,1296,2016-06-24,,-,,,
435,1298,2016-06-24,,Yes,,,
436,1304,2016-06-24,,Yes,,,
437,1308,2016-06-24,,Yes,,,
438,1309,2016-06-24,,Yes,,,
439,1310,2016-05-24,,-,,,
440,1320,2016-06-24,,-,,,
441,1321,2016-06-24,,-,,,
442,1322,2016-06-24,,-,,,
443,1325,2016-06-24,,-,,,
444,1330,2016-06-24,,-,,,
445,1333,2016-06-24,,Yes,,,
446,1343,2016-06-24,,-,,,
447,1345,2016-06-24,,Yes,,,
448,1346,2016-06-24,,-,,,
449,1355,2016-06-24,,-,,,
450,1358,2016-05-24,,-,,,
451,1359,2016-06-24,,Yes,,,
452,1363,2016-06-24,,Yes,,,
453,1365,2016-06-24,,-,,,
454,1376,2016-06-24,,Yes,,,
455,1379,2016-06-24,,-,,,
456,1383,2016-06-24,,Yes,,,
457,1388,2016-06-24,,Yes,,,
458,1390,2016-06-24,,-,,,
459,1391,2016-06-24,,-,,,
460,1397,2016-06-24,,Yes,,,
461,1399,2016-06-24,,Yes,,,
462,1401,2016-06-24,,-,,,
463,1406,2016-06-24,,Yes,,,
464,1407,2016-06-24,,Yes,,,
465,1408,2016-06-24,,-,,,
466,1409,2016-06-24,,-,,,
467,1410,2016-06-24,,-,,,
468,1411,2016-06-24,,Yes,,,
469,1412,2016-06-24,,Yes,,,
470,1413,2016-06-24,,Yes,,,
471,1414,2016-06-24,,Yes,,,
472,1415,2016-06-24,,-,,,
473,1418,2016-06-24,,Yes,,,
474,1419,2016-06-24,,-,,,
475,1420,2016-06-24,,Yes,,,
476,1422,2016-05-24,,-,,,
477,1423,2016-06-24,,Yes,,,
478,1424,2016-06-24,,-,,,
479,1425,2016-06-24,,Yes,,,
480,1426,2016-06-24,,Yes,,,
481,1430,2016-06-24,,Yes,,,
482,1432,2016-06-24,,Yes,,,
483,1433,2016-06-24,,-,,,
484,1460,2016-06-24,,Yes,,,
485,1478,2016-06-24,,Yes,,,
486,1482,2016-06-24,,Yes,,,
487,1483,2016-06-24,,-,,,
488,1484,2016-06-24,,Yes,,,
489,1485,2016-05-24,,-,,,
490,1487,2016-06-24,,Yes,,,
491,1488,2016-06-24,,-,,,
492,1490,2016-06-24,,Yes,,,
493,1491,2016-05-24,,-,,,
494,1492,2016-06-24,,Yes,,,
495,1493,2016-06-24,,-,,,
496,1494,2016-06-24,,Yes,,,
497,1495,2016-06-24,,-,,,
498,1496,2016-06-24,,-,,,
499,1497,2016-06-24,,Yes,,,
500,1498,2016-06-24,,-,,,
501,1499,2016-06-24,,Yes,,,
502,1500,2016-06-24,,-,,,
503,1501,2016-06-24,,Yes,,,
504,1503,2016-06-24,,-,,,
505,1507,2016-06-24,,-,,,
506,1508,2016-06-24,,Yes,,,
507,1510,2016-06-24,,Yes,,,
508,1511,2016-06-24,,Yes,,,
509,1513,2016-06-24,,-,,,
510,1514,2016-06-24,,Yes,,,
511,1515,2016-06-24,,-,,,
512,1516,2016-06-24,,-,,,
513,1517,2016-06-24,,Yes,,,
514,1518,2016-06-24,,Yes,,,
515,1519,2016-06-24,,Yes,,,
516,1520,2016-06-24,,Yes,,,
517,1523,2016-06-24,,Yes,,,
518,1524,2016-06-24,,-,,,
519,1525,2016-06-24,,-,,,
520,1526,2016-06-24,,Yes,,,
521,1527,2016-06-24,,-,,,
522,1528,2016-06-24,,Yes,,,
523,1529,2016-06-24,,-,,,
524,1530,2016-06-24,,-,,,
525,1531,2016-06-24,,Yes,,,
526,1532,2016-06-24,,Yes,,,
527,1533,2016-06-24,,Yes,,,
528,1534,2016-06-24,,Yes,,,
529,1535,2016-06-24,,Yes,,,
530,1536,2016-06-24,,-,,,
531,1537,2016-06-24,,Yes,,,
532,1538,2016-06-24,,Yes,,,
533,1540,2016-06-24,,Yes,,,
534,1541,2016-06-24,,Yes,,,
535,1542,2016-06-24,,Yes,,,
536,1543,2016-06-24,,Yes,,,
537,1544,2016-06-24,,Yes,,,
538,1545,2016-06-24,,Yes,,,
539,1546,2016-06-24,,Yes,,,
540,1547,2016-06-24,,-,,,
541,1548,2016-06-24,,Yes,,,
542,1549,2016-06-24,,-,,,
543,1550,2016-06-24,,-,,,
544,1552,2016-06-24,,-,,,
545,1553,2016-06-24,,-,,,
546,1554,2016-06-24,,-,,,
547,1555,2016-06-24,,-,,,
548,1559,2016-06-24,,Yes,,,
549,1561,2016-05-24,,-,,,
550,1564,2016-06-24,,-,,,
551,1580,2016-06-24,,-,,,
552,1585,2016-05-24,,-,,,
553,1586,2016-06-24,,-,,,
554,1588,2016-06-24,,Yes,,,
555,1613,2016-06-24,,Yes,,,
556,1620,2016-06-24,,-,,,
557,1625,2016-05-24,,-,,,
558,1630,2016-05-24,,-,,,
559,1637,2016-06-24,,Yes,,,
560,1642,2016-06-24,,Yes,,,
561,1650,2016-06-24,,-,,,
562,1651,2016-05-24,,-,,,
563,1652,2016-06-24,,-,,,
564,1655,2016-06-24,,-,,,
565,1656,2016-05-24,,-,,,
566,1661,2016-05-24,,-,,,
567,1662,2016-06-24,,-,,,
568,1666,2016-06-24,,-,,,
569,1669,2016-06-24,,Yes,,,
570,1672,2016-06-24,,-,,,
571,1673,2016-06-24,,Yes,,,
572,1675,2016-06-24,,-,,,
573,1678,2016-06-24,,-,,,
574,1682,2016-06-24,,Yes,,,
575,1686,2016-06-24,,Yes,,,
