vreKey,cowKey,vreDate,reason,diagnosis,extra,vetKey,comment
4813,7783,21/03/16,PREGD,EMPTY,,,
4814,7784,21/03/16,PREGD,EMPTY,,,
4815,7785,23/06/16,PREGD,PREG,LASTSERVICE,,
4816,7785,21/03/16,PREGD,EMPTY,,,
4817,7786,23/06/16,PREGD,PREG,LASTSERVICE,,
4818,7786,21/03/16,PREGD,EMPTY,,,
4819,7787,23/06/16,PREGD,PREG,LASTSERVICE,,
4820,7787,21/03/16,PREGD,EMPTY,,,
4821,7788,21/03/16,PREGD,EMPTY,,,
4822,7789,21/03/16,PREGD,PREG,LASTSERVICE,,
4823,7790,21/03/16,PREGD,EMPTY,,,
4824,7791,21/03/16,PREGD,PREG,LASTSERVICE,,
4825,7793,21/03/16,PREGD,EMPTY,,,
4826,7794,23/06/16,PREGD,PREG,LASTSERVICE,,
4827,7794,21/03/16,PREGD,EMPTY,,,
4828,7795,21/03/16,PREGD,PREG,LASTSERVICE,,
4829,7796,21/03/16,PREGD,PREG,LASTSERVICE,,
4830,7797,23/06/16,PREGD,PREG,LASTSERVICE,,
4831,7797,21/03/16,PREGD,EMPTY,,,
4832,7798,21/03/16,PREGD,PREG,LASTSERVICE,,
4833,7800,21/03/16,PREGD,PREG,LASTSERVICE,,
4834,7801,21/03/16,PREGD,PREG,LASTSERVICE,,
4835,7802,21/03/16,PREGD,PREG,LASTSERVICE,,
4836,7803,23/06/16,PREGD,PREG,LASTSERVICE,,
4837,7803,21/03/16,PREGD,EMPTY,,,
4838,7805,23/06/16,PREGD,PREG,LASTSERVICE,,
4839,7805,21/03/16,PREGD,EMPTY,,,
4840,7806,23/06/16,PREGD,PREG,LASTSERVICE,,
4841,7806,21/03/16,PREGD,EMPTY,,,
4842,7808,21/03/16,PREGD,PREG,LASTSERVICE,,
4843,7810,21/03/16,PREGD,EMPTY,,,
4844,7811,21/03/16,PREGD,EMPTY,,,
4845,7813,21/03/16,PREGD,PREG,LASTSERVICE,,
4846,7814,21/03/16,PREGD,EMPTY,,,
4847,7816,23/06/16,PREGD,PREG,LASTSERVICE,,
4848,7816,21/03/16,PREGD,EMPTY,,,
4849,7817,23/06/16,PREGD,PREG,LASTSERVICE,,
4850,7817,21/03/16,PREGD,EMPTY,,,
4851,7819,23/06/16,PREGD,PREG,LASTSERVICE,,
4852,7822,23/06/16,PREGD,PREG,LASTSERVICE,,
4853,7823,23/06/16,PREGD,PREG,LASTSERVICE,,
4854,7824,23/06/16,PREGD,EMPTY,,,
4855,7824,21/03/16,PREGD,EMPTY,,,
4856,7825,23/06/16,PREGD,PREG,LASTSERVICE,,
4857,7826,23/06/16,PREGD,PREG,LASTSERVICE,,
4858,7827,23/06/16,PREGD,PREG,LASTSERVICE,,
4859,7828,23/06/16,PREGD,PREG,LASTSERVICE,,
4860,7831,23/06/16,PREGD,EMPTY,,,
4861,7832,23/06/16,PREGD,PREG,LASTSERVICE,,
4862,7833,23/06/16,PREGD,PREG,LASTSERVICE,,
4863,7834,23/06/16,PREGD,PREG,LASTSERVICE,,
4864,7836,23/06/16,PREGD,PREG,LASTSERVICE,,
4865,7838,23/06/16,PREGD,PREG,LASTSERVICE,,
4866,7839,23/06/16,PREGD,PREG,LASTSERVICE,,
4867,7840,23/06/16,PREGD,PREG,LASTSERVICE,,
4868,7841,23/06/16,PREGD,PREG,LASTSERVICE,,
4869,7842,23/06/16,PREGD,PREG,LASTSERVICE,,
4870,7843,23/06/16,PREGD,PREG,LASTSERVICE,,
4871,7844,23/06/16,PREGD,PREG,LASTSERVICE,,
4872,7845,23/06/16,PREGD,PREG,LASTSERVICE,,
4873,7846,22/12/15,PREGD,PREG,LASTSERVICE,,
4874,7851,23/06/16,PREGD,PREG,LASTSERVICE,,
4875,7852,23/06/16,PREGD,PREG,LASTSERVICE,,
4876,7853,23/06/16,PREGD,PREG,LASTSERVICE,,
4877,7857,23/06/16,PREGD,PREG,LASTSERVICE,,
4878,7858,23/06/16,PREGD,PREG,LASTSERVICE,,
4879,7861,23/06/16,PREGD,PREG,LASTSERVICE,,
4880,7862,23/06/16,PREGD,PREG,LASTSERVICE,,
4881,7863,23/06/16,PREGD,PREG,LASTSERVICE,,
4882,7865,23/06/16,PREGD,PREG,LASTSERVICE,,
4883,7867,23/06/16,PREGD,EMPTY,,,
4884,7870,23/06/16,PREGD,PREG,LASTSERVICE,,
4885,7871,23/06/16,PREGD,PREG,LASTSERVICE,,
4886,7875,23/06/16,PREGD,PREG,LASTSERVICE,,
4887,7876,23/06/16,PREGD,PREG,LASTSERVICE,,
4888,7877,23/06/16,PREGD,PREG,LASTSERVICE,,
4889,7878,23/06/16,PREGD,PREG,LASTSERVICE,,
4890,7879,23/06/16,PREGD,EMPTY,,,
4891,7880,23/06/16,PREGD,EMPTY,,,
4892,7881,23/06/16,PREGD,PREG,LASTSERVICE,,
4893,7883,23/06/16,PREGD,PREG,LASTSERVICE,,
4894,7885,23/06/16,PREGD,PREG,LASTSERVICE,,
4895,7886,23/06/16,PREGD,PREG,LASTSERVICE,,
4896,7887,23/06/16,PREGD,PREG,LASTSERVICE,,
4897,7891,23/06/16,PREGD,PREG,LASTSERVICE,,
4898,7892,23/06/16,PREGD,PREG,LASTSERVICE,,
4899,7893,23/06/16,PREGD,PREG,LASTSERVICE,,
4900,7894,23/06/16,PREGD,PREG,LASTSERVICE,,
4901,7895,23/06/16,PREGD,PREG,LASTSERVICE,,
4902,7896,23/06/16,PREGD,PREG,LASTSERVICE,,
4903,7897,23/06/16,PREGD,PREG,LASTSERVICE,,
4904,7898,23/06/16,PREGD,PREG,LASTSERVICE,,
4905,7899,23/06/16,PREGD,PREG,LASTSERVICE,,
4906,7900,23/06/16,PREGD,PREG,LASTSERVICE,,
4907,7902,23/06/16,PREGD,PREG,LASTSERVICE,,
4908,7904,23/06/16,PREGD,PREG,LASTSERVICE,,
4909,7905,23/06/16,PREGD,EMPTY,,,
4910,7906,23/06/16,PREGD,PREG,LASTSERVICE,,
4911,7907,23/06/16,PREGD,PREG,LASTSERVICE,,
4912,7908,23/06/16,PREGD,PREG,LASTSERVICE,,
4913,7909,23/06/16,PREGD,PREG,LASTSERVICE,,
4914,7911,23/06/16,PREGD,PREG,LASTSERVICE,,
4915,7913,23/06/16,PREGD,PREG,LASTSERVICE,,
4916,7914,23/06/16,PREGD,PREG,LASTSERVICE,,
4917,7916,23/06/16,PREGD,PREG,LASTSERVICE,,
4918,7917,23/06/16,PREGD,PREG,LASTSERVICE,,
4919,7918,23/06/16,PREGD,PREG,LASTSERVICE,,
4920,7921,23/06/16,PREGD,PREG,LASTSERVICE,,
4921,7922,23/06/16,PREGD,PREG,LASTSERVICE,,
4922,7924,23/06/16,PREGD,PREG,LASTSERVICE,,
4923,7927,23/06/16,PREGD,EMPTY,,,
4924,7928,23/06/16,PREGD,PREG,LASTSERVICE,,
4925,7929,23/06/16,PREGD,PREG,LASTSERVICE,,
4926,7931,23/06/16,PREGD,PREG,LASTSERVICE,,
4927,7933,23/06/16,PREGD,PREG,LASTSERVICE,,
4928,7934,23/06/16,PREGD,PREG,LASTSERVICE,,
4929,7935,23/06/16,PREGD,PREG,LASTSERVICE,,
