doKey,CowKey,doDate,comment,reason
740,1958, 13/10/10,,
741,1960, 11/07/12,,
742,1963, 24/04/15,,
743,1964, 26/12/09,,
744,1966, 14/11/11,,
745,1967, 24/12/09,,
746,1968, 15/11/11,,
747,1969, 13/10/10,,
748,1970, 25/12/09,,
749,1971, 15/04/13,,
750,1974, 27/12/09,,
751,1976, 11/07/12,,
752,1977, 13/06/09,,
753,1980, 17/09/08,,
754,1981, 15/01/12,,
755,1983, 20/01/09,,
756,1984, 14/05/10,,
757,1985, 06/11/09,,
758,1986, 20/09/10,,
759,1987, 23/08/12,,
760,1988, 01/09/13,,
761,1989, 15/11/11,,
762,1991, 05/03/09,,
763,1992, 13/10/10,,
764,1993, 18/09/11,,
765,1994, 04/08/09,,
766,1995, 06/06/11,,
767,1996, 13/06/09,,
768,1997, 06/09/10,,
769,1998, 25/11/12,,
770,1999, 17/04/10,,
771,2000, 08/11/11,,
772,2001, 30/05/13,,
773,2002, 29/04/10,,
774,2003, 21/12/09,,
775,2005, 24/09/09,,
776,2006, 12/11/10,,
777,2007, 22/06/09,,
778,2008, 15/05/09,,
779,2009, 27/12/10,,
780,2011, 14/05/10,,
781,2012, 01/09/13,,
782,2014, 22/03/14,,
783,2017, 27/12/09,,
784,2018, 24/12/09,,
785,2019, 27/09/10,,
786,2020, 04/10/10,,
787,2021, 03/08/10,,
788,2022, 24/09/09,,
789,2023, 04/03/09,,
790,2024, 11/07/10,,
791,2025, 17/09/10,,
792,2026, 27/12/09,,
793,2027, 27/12/09,,
794,2028, 11/10/10,,
795,2029, 05/04/11,,
796,2030, 25/11/08,,
797,2031, 09/05/12,,
798,2035, 10/05/12,,
799,2036, 11/02/09,,
800,2038, 13/10/10,,
801,2039, 11/09/10,,
802,2040, 13/10/10,,
803,2041, 28/03/11,,
804,2042, 20/12/12,,
805,2044, 21/07/11,,
806,2046, 13/10/10,,
807,2047, 24/08/10,,
808,2048, 27/12/10,,
809,2049, 26/08/10,,
810,2050, 27/12/09,,
811,2051, 06/06/11,,
812,2053, 27/12/09,,
813,2054, 22/03/12,,
814,2055, 15/11/11,,
815,2056, 13/10/10,,
816,2057, 04/04/11,,
817,2058, 24/08/10,,
818,2059, 02/09/09,,
819,2061, 17/06/09,,
820,2062, 20/10/10,,
821,2063, 14/12/09,,
822,2064, 18/08/10,,
823,2065, 25/12/09,,
824,2067, 13/10/10,,
825,2069, 31/08/09,,
826,2071, 27/12/09,,
827,2072, 24/09/09,,
828,2075, 04/10/10,,
829,2076, 27/12/09,,
830,2077, 26/03/09,,
831,2078, 25/11/12,,
832,2080, 21/05/14,,
833,2081, 19/04/09,,
834,2082, 27/12/09,,
835,2083, 19/09/11,,
836,2084, 27/12/09,,
837,2086, 26/06/10,,
838,2089, 28/10/13,,
839,2091, 27/12/09,,
840,2092, 27/12/09,,
841,2093, 26/07/11,,
842,2094, 10/06/09,,
843,2095, 01/09/13,,
844,2096, 27/12/09,,
845,2100, 24/04/13,,
846,2101, 24/01/13,,
847,2103, 15/03/11,,
848,2104, 30/08/09,,
849,2105, 01/05/11,,
850,2106, 27/05/10,,
851,2107, 27/12/09,,
852,2108, 19/05/10,,
853,2109, 24/08/10,,
854,2112, 01/07/11,,
855,2113, 27/12/09,,
856,2115, 27/12/09,,
857,2116, 16/05/09,,
858,2117, 27/12/09,,
859,2119, 21/08/09,,
860,2120, 08/04/13,,
861,2121, 08/10/08,,
862,2122, 30/05/10,,
863,2123, 01/09/13,,
864,2124, 27/12/09,,
865,2125, 27/12/09,,
866,2126, 13/10/10,,
867,2127, 05/03/12,,
868,2128, 23/03/14,,
869,2129, 27/06/11,,
870,2131, 31/03/09,,
871,2132, 29/03/09,,
872,2133, 27/12/09,,
873,2134, 29/11/11,,
874,2135, 28/03/10,,
875,2136, 27/12/09,,
876,2137, 23/09/10,,
877,2138, 24/08/08,,
878,2139, 11/07/12,,
879,2140, 27/12/09,,
880,2141, 17/03/11,,
881,2143, 18/05/10,,
882,2144, 30/11/12,,
883,2146, 25/10/10,,
884,2147, 26/02/10,,
885,2148, 23/07/11,,
886,2149, 11/07/10,,
887,2150, 24/08/10,,
888,2152, 29/05/10,,
889,2153, 14/07/14,,
890,2155, 26/12/09,,
891,2156, 30/08/10,,
892,2159, 18/05/11,,
893,2160, 24/12/10,,
894,2161, 29/05/10,,
895,2162, 16/04/11,,
896,2164, 17/05/10,,
897,2165, 17/09/15,,
898,2166, 20/08/15,,
899,2168, 05/05/09,,
900,2169, 11/07/12,,
901,2171, 08/10/10,,
902,2173, 07/02/14,,
903,2174, 24/08/10,,
904,2178, 26/11/09,,
905,2179, 14/01/13,,
906,2180, 25/11/12,,
907,2181, 12/10/11,,
908,2183, 29/03/10,,
909,2184, 27/12/09,,
910,2185, 04/09/10,,
911,2186, 27/12/09,,
912,2187, 27/12/09,,
913,2188, 13/06/09,,
914,2190, 07/02/13,,
915,2192, 05/04/12,,
916,2193, 27/12/09,,
917,2194, 27/12/09,,
918,2199, 22/06/08,,
919,2200, 24/08/10,,
920,2201, 03/02/15,,
921,2202, 27/12/09,,
922,2203, 22/12/10,,
923,2204, 27/09/11,,
924,2206, 22/03/12,,
925,2207, 27/12/09,,
926,2208, 27/12/09,,
927,2210, 27/12/09,,
928,2211, 20/09/10,,
929,2212, 24/08/10,,
930,2215, 06/03/09,,
931,2216, 27/12/09,,
932,2217, 27/12/09,,
933,2218, 20/04/10,,
934,2219, 24/08/10,,
935,2220, 28/07/09,,
936,2221, 28/12/09,,
937,2222, 31/03/09,,
938,2223, 13/10/10,,
939,2224, 13/10/10,,
940,2226, 29/09/15,,
941,2230, 08/04/11,,
942,2231, 27/12/09,,
943,2232, 29/05/10,,
944,2233, 13/10/10,,
945,2234, 19/09/10,,
946,2235, 27/12/09,,
947,2236, 19/07/12,,
948,2237, 21/03/14,,
949,2238, 27/12/09,,
950,2239, 23/04/11,,
951,2240, 27/08/10,,
952,2241, 16/01/14,,
953,2243, 31/03/09,,
954,2244, 18/09/11,,
955,2246, 22/07/11,,
956,2247, 31/03/09,,
957,2248, 27/12/09,,
958,2249, 08/06/10,,
959,2250, 27/12/09,,
960,2251, 26/07/10,,
961,2252, 29/09/11,,
962,2253, 13/06/09,,
963,2255, 17/01/10,,
964,2256, 25/03/11,,
965,2257, 08/06/09,,
966,2258, 29/05/10,,
967,2259, 17/10/10,,
968,2260, 01/09/10,,
969,2261, 21/01/14,,
970,2262, 02/09/13,,
971,2263, 24/08/10,,
972,2264, 20/09/11,,
973,2267, 27/12/09,,
974,2268, 25/03/14,,
975,2270, 15/09/10,,
976,2271, 27/12/09,,
977,2274, 24/08/10,,
978,2276, 27/12/09,,
979,2277, 09/12/09,,
980,2278, 23/08/12,,
981,2279, 11/07/12,,
982,2280, 31/03/09,,
983,2281, 01/07/13,,
984,2282, 11/10/10,,
985,2283, 23/06/09,,
986,2284, 19/01/10,,
987,2285, 27/12/09,,
