CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase,LactNo
214,75,2013-03-03,NORMAL,NONE,0,,,,,,,2
215,75,2015-04-03,NORMAL,NONE,0,,,,,,,4
216,76,2012-11-13,NORMAL,NONE,0,,,,,,,2
217,76,2014-11-22,NORMAL,NONE,0,,,,,,,4
218,76,2015-11-25,NORMAL,NONE,0,,,,,,,5
219,78,2013-03-02,NORMAL,NONE,0,,,,,,,2
220,78,2015-04-11,NORMAL,NONE,0,,,,,,,4
221,79,2013-03-01,NORMAL,NONE,0,,,,,,,3
222,79,2015-07-11,NORMAL,NONE,0,,,,,,,5
223,80,2012-12-07,NORMAL,NONE,0,,,,,,,2
224,80,2015-07-09,NORMAL,NONE,0,,,,,,,5
225,80,2016-06-12,NORMAL,NONE,0,,,,,,,3
226,81,2012-09-15,NORMAL,NONE,0,,,,,,,2
227,81,2015-04-10,NORMAL,NONE,0,,,,,,,5
230,82,2013-03-27,NORMAL,NONE,0,,,,,,,2
231,82,2015-07-14,NORMAL,NONE,0,,,,,,,4
232,82,2016-06-09,NORMAL,NONE,0,,,,,,,3
233,83,2012-12-07,NORMAL,NONE,0,,,,,,,2
234,83,2014-11-15,NORMAL,NONE,0,,,,,,,4
237,84,2012-09-16,NORMAL,NONE,0,,,,,,,2
238,84,2015-04-06,NORMAL,NONE,0,,,,,,,5
241,85,2012-11-10,NORMAL,NONE,0,,,,,,,2
242,85,2015-03-30,NORMAL,NONE,0,,,,,,,4
243,85,2016-03-10,NORMAL,NONE,0,,,,,,,5
244,86,2013-06-16,NORMAL,NONE,0,,,,,,,2
245,86,2015-04-08,NORMAL,NONE,0,,,,,,,4
246,86,2016-03-06,NORMAL,NONE,0,,,,,,,5
247,87,2012-10-30,NORMAL,NONE,0,,,,,,,1
248,87,2014-11-26,NORMAL,NONE,0,,,,,,,3
249,87,2015-11-30,NORMAL,NONE,0,,,,,,,4
250,88,2011-11-07,NORMAL,NONE,0,,,,,,,1
251,88,2013-09-10,NORMAL,NONE,0,,,,,,,2
252,88,2015-09-30,NORMAL,NONE,0,,,,,,,3
253,89,2012-11-08,NORMAL,NONE,0,,,,,,,2
254,89,2014-11-07,NORMAL,NONE,0,,,,,,,4
255,89,2015-11-15,NORMAL,NONE,0,,,,,,,5
256,90,2013-06-18,NORMAL,NONE,0,,,,,,,3
257,90,2014-11-22,NORMAL,NONE,0,,,,,,,4
258,90,2016-03-01,NORMAL,NONE,0,,,,,,,4
259,91,2012-09-12,NORMAL,NONE,0,,,,,,,2
260,91,2015-07-03,NORMAL,NONE,0,,,,,,,5
261,91,2016-06-09,NORMAL,NONE,0,,,,,,,3
262,92,2012-11-10,NORMAL,NONE,0,,,,,,,2
263,92,2014-11-09,NORMAL,NONE,0,,,,,,,4
264,92,2015-11-28,NORMAL,NONE,0,,,,,,,5
265,93,2012-11-06,NORMAL,NONE,0,,,,,,,2
266,93,2014-11-26,NORMAL,NONE,0,,,,,,,4
267,93,2015-09-27,NORMAL,NONE,0,,,,,,,5
268,93,2016-09-07,NORMAL,NONE,0,,,,,,,3
269,94,2012-11-06,NORMAL,NONE,0,,,,,,,2
270,94,2014-11-22,NORMAL,NONE,0,,,,,,,4
271,94,2015-11-28,NORMAL,NONE,0,,,,,,,5
272,95,2012-11-19,NORMAL,NONE,0,,,,,,,1
273,95,2014-11-15,NORMAL,NONE,0,,,,,,,3
274,95,2015-11-23,NORMAL,NONE,0,,,,,,,4
275,95,2016-11-16,NORMAL,NONE,0,,,,,,,2
276,96,2012-11-08,NORMAL,NONE,0,,,,,,,2
277,96,2014-11-26,NORMAL,NONE,0,,,,,,,4
278,96,2015-11-28,NORMAL,NONE,0,,,,,,,5
279,97,2012-11-03,NORMAL,NONE,0,,,,,,,2
280,97,2014-11-07,NORMAL,NONE,0,,,,,,,4
281,97,2015-11-28,NORMAL,NONE,0,,,,,,,5
282,98,2012-11-30,NORMAL,NONE,0,,,,,,,2
283,98,2015-07-10,NORMAL,NONE,0,,,,,,,5
284,98,2016-06-08,NORMAL,NONE,0,,,,,,,3
285,99,2012-08-29,NORMAL,NONE,0,,,,,,,2
286,99,2015-07-08,NORMAL,NONE,0,,,,,,,5
287,99,2016-06-05,NORMAL,NONE,0,,,,,,,3
288,100,2012-11-13,NORMAL,NONE,0,,,,,,,2
289,100,2014-11-15,NORMAL,NONE,0,,,,,,,4
290,100,2015-11-22,NORMAL,NONE,0,,,,,,,5
291,101,2013-02-28,NORMAL,NONE,0,,,,,,,2
292,101,2015-04-23,NORMAL,NONE,0,,,,,,,4
293,101,2016-03-06,NORMAL,NONE,0,,,,,,,5
294,102,2012-09-06,NORMAL,NONE,0,,,,,,,2
295,102,2014-09-03,NORMAL,NONE,0,,,,,,,4
296,102,2015-09-10,NORMAL,NONE,0,,,,,,,3
297,102,2016-09-06,NORMAL,NONE,0,,,,,,,4
298,103,2012-09-11,NORMAL,NONE,0,,,,,,,3
299,103,2014-09-08,NORMAL,NONE,0,,,,,,,5
300,103,2015-09-09,NORMAL,NONE,0,,,,,,,6
301,103,2016-11-28,NORMAL,NONE,0,,,,,,,4
302,104,2012-09-09,NORMAL,NONE,0,,,,,,,2
303,104,2014-09-08,NORMAL,NONE,0,,,,,,,4
