ServKey,CowKey,servDate,servType,Sire,Technician
426,923, 10/06/15,AI,,
427,925, 01/01/16,AI,,
428,929, 13/02/13,AI,,
429,930, 01/01/16,AI,,
430,932, 07/01/13,AI,,
431,933, 06/02/16,AI,,
432,933, 01/04/15,AI,,
433,938, 07/01/13,AI,,
434,939, 31/08/15,AI,,
435,940, 01/01/16,AI,,
436,944, 12/08/14,AI,,
437,948, 01/01/12,AI,,
438,950, 01/06/12,AI,,
439,952, 23/08/12,AI,,
440,953, 26/07/16,AI,,
441,953, 01/04/15,AI,,
442,955, 15/01/13,AI,,
443,956, 01/01/16,AI,,
444,958, 10/06/15,AI,,
445,959, 23/03/16,AI,,
446,959, 01/04/15,AI,,
447,960, 15/11/12,AI,,
448,961, 10/06/15,AI,,
449,965, 01/10/12,AI,,
450,966, 21/04/15,AI,,
451,967, 23/03/16,AI,,
452,967, 01/04/15,AI,,
453,968, 29/09/15,AI,,
454,970, 23/05/13,AI,,
455,975, 24/07/15,AI,,
456,976, 01/04/15,AI,,
457,979, 01/04/13,AI,,
458,980, 01/06/14,AI,,
459,983, 26/07/16,AI,,
460,983, 01/04/15,AI,,
461,985, 24/07/15,AI,,
462,986, 21/04/15,AI,,
463,987, 01/01/12,AI,,
464,989, 01/01/12,AI,,
465,990, 01/09/15,AI,,
466,994, 24/09/15,AI,,
467,996, 25/04/13,AI,,
468,997, 24/07/15,AI,,
469,1000, 24/09/14,AI,,
470,1002, 01/04/13,AI,,
471,1007, 24/09/15,AI,,
472,1009, 03/10/11,AI,,
473,1010, 10/06/15,AI,,
474,1011, 19/09/12,AI,,
475,1013, 01/09/15,AI,,
476,1013, 01/01/15,AI,,
477,1014, 07/01/13,AI,,
478,1015, 24/09/14,AI,,
479,1019, 15/01/13,AI,,
480,1020, 26/07/16,AI,,
481,1020, 18/10/15,AI,,
482,1022, 10/06/15,AI,,
483,1024, 08/07/15,AI,,
484,1024, 04/09/15,AI,,
485,1027, 26/07/16,AI,,
486,1027, 01/04/15,AI,,
487,1028, 01/04/15,AI,,
488,1029, 24/09/14,AI,,
489,1031, 01/06/12,AI,,
490,1033, 01/01/16,AI,,
491,1036, 01/01/15,AI,,
492,1037, 01/01/12,AI,,
493,1039, 25/05/13,AI,,
494,1041, 18/10/15,AI,,
495,1041, 10/06/15,AI,,
496,1042, 01/04/15,AI,,
497,1047, 01/01/16,AI,,
498,1049, 01/04/12,AI,,
499,1051, 01/01/16,AI,,
500,1055, 01/10/12,AI,,
501,1059, 10/06/15,AI,,
502,1062, 01/06/14,AI,,
503,1064, 01/04/15,AI,,
504,1066, 01/01/16,AI,,
505,1067, 23/03/16,AI,,
506,1067, 18/10/15,AI,,
507,1068, 19/09/12,AI,,
508,1070, 10/06/15,AI,,
509,1071, 07/01/13,AI,,
510,1073, 01/01/16,AI,,
511,1074, 15/01/13,AI,,
512,1076, 21/04/15,AI,,
513,1081, 29/09/15,AI,,
514,1082, 01/01/12,AI,,
515,1085, 01/09/15,AI,,
516,1085, 01/04/15,AI,,
517,1086, 23/03/16,AI,,
518,1086, 10/06/15,AI,,
519,1094, 01/10/12,AI,,
520,1095, 07/01/13,AI,,
521,1097, 23/03/16,AI,,
522,1097, 01/04/15,AI,,
523,1098, 29/05/16,AI,,
524,1098, 10/06/15,AI,,
525,1102, 15/01/13,AI,,
526,1105, 01/06/12,AI,,
527,1106, 09/12/14,AI,,
528,1107, 01/10/12,AI,,
529,1108, 01/06/14,AI,,
530,1109, 01/01/12,AI,,
531,1111, 01/10/14,AI,,
532,1113, 01/01/14,AI,,
533,1116, 01/01/16,AI,,
534,1119, 07/05/14,AI,,
535,1120, 24/07/15,AI,,
536,1122, 26/07/16,AI,,
537,1122, 10/06/15,AI,,
538,1123, 01/04/13,AI,,
539,1125, 26/07/16,AI,,
540,1125, 18/10/15,AI,,
541,1126, 10/06/15,AI,,
542,1127, 01/04/15,AI,,
543,1129, 15/01/13,AI,,
544,1135, 19/09/12,AI,,
545,1137, 15/11/12,AI,,
546,1139, 01/01/12,AI,,
547,1140, 10/06/15,AI,,
548,1141, 07/01/13,AI,,
549,1142, 10/06/15,AI,,
550,1143, 01/04/15,AI,,
551,1145, 01/06/12,AI,,
552,1146, 05/09/12,AI,,
553,1149, 01/01/12,AI,,
554,1150, 07/01/13,AI,,
555,1151, 29/09/15,AI,,
556,1151, 01/04/15,AI,,
557,1152, 03/04/13,AI,,
558,1154, 01/06/12,AI,,
559,1155, 07/01/13,AI,,
560,1157, 24/09/14,AI,,
561,1160, 03/04/13,AI,,
562,1161, 29/09/15,AI,,
563,1161, 01/04/15,AI,,
564,1162, 24/07/15,AI,,
565,1163, 24/09/15,AI,,
566,1165, 26/07/16,AI,,
567,1165, 18/10/15,AI,,
568,1167, 01/04/13,AI,,
569,1168, 01/04/15,AI,,
570,1169, 01/10/12,AI,,
571,1170, 10/06/15,AI,,
572,1171, 01/01/12,AI,,
573,1176, 01/10/14,AI,,
574,1181, 18/10/15,AI,,
575,1181, 10/06/15,AI,,
576,1182, 07/01/13,AI,,
577,1183, 01/01/12,AI,,
578,1184, 29/05/16,AI,,
579,1184, 01/04/15,AI,,
580,1185, 15/01/13,AI,,
581,1187, 23/03/16,AI,,
582,1187, 01/04/15,AI,,
583,1188, 24/09/15,AI,,
584,1189, 24/07/15,AI,,
585,1190, 10/06/15,AI,,
586,1191, 10/06/15,AI,,
587,1194, 22/03/14,AI,,
588,1198, 23/03/16,AI,,
589,1198, 10/06/15,AI,,
590,1207, 01/01/12,AI,,
591,1208, 24/09/15,AI,,
592,1210, 18/10/15,AI,,
593,1210, 10/06/15,AI,,
594,1210, 01/01/16,AI,,
595,1211, 24/07/15,AI,,
596,1212, 23/03/16,AI,,
597,1212, 01/04/15,AI,,
598,1214, 29/05/16,AI,,
599,1214, 10/06/15,AI,,
600,1217, 01/01/16,AI,,
601,1219, 01/01/14,AI,,
602,1220, 01/01/12,AI,,
603,1223, 07/01/13,AI,,
604,1224, 07/05/14,AI,,
605,1225, 23/03/16,AI,,
606,1225, 10/06/15,AI,,
607,1227, 07/02/13,AI,,
608,1228, 10/06/15,AI,,
609,1230, 07/01/13,AI,,
610,1231, 07/05/14,AI,,
611,1232, 01/01/16,AI,,
612,1233, 08/07/15,AI,,
613,1233, 04/09/15,AI,,
614,1234, 01/04/12,AI,,
615,1235, 01/04/15,AI,,
616,1237, 01/06/12,AI,,
617,1238, 01/04/15,AI,,
618,1239, 01/01/12,AI,,
619,1240, 01/06/12,AI,,
620,1241, 23/03/16,AI,,
621,1241, 01/04/15,AI,,
622,1244, 07/01/12,AI,,
623,1247, 01/04/13,AI,,
624,1248, 26/07/16,AI,,
625,1248, 01/04/15,AI,,
626,1251, 10/06/15,AI,,
627,1254, 01/06/12,AI,,
628,1257, 31/08/15,AI,,
629,1258, 23/03/16,AI,,
630,1258, 10/06/15,AI,,
631,1260, 29/09/15,AI,,
632,1261, 01/10/12,AI,,
633,1265, 01/01/14,AI,,
634,1266, 31/08/12,AI,,
635,1267, 10/06/15,AI,,
636,1268, 01/06/12,AI,,
637,1269, 01/01/16,AI,,
638,1270, 15/01/13,AI,,
639,1274, 27/11/12,AI,,
640,1276, 01/06/12,AI,,
641,1278, 01/04/13,AI,,
642,1281, 07/01/13,AI,,
643,1282, 01/04/12,AI,,
644,1283, 01/10/12,AI,,
645,1284, 01/04/12,AI,,
646,1286, 23/03/16,AI,,
647,1286, 10/06/15,AI,,
648,1287, 07/01/13,AI,,
649,1294, 07/01/13,AI,,
650,1295, 01/04/15,AI,,
651,1296, 01/04/13,AI,,
652,1297, 01/04/13,AI,,
653,1299, 23/03/16,AI,,
654,1299, 01/04/15,AI,,
655,1302, 26/07/16,AI,,
656,1302, 01/01/16,AI,,
657,1304, 23/03/16,AI,,
658,1304, 18/10/15,AI,,
659,1306, 07/01/13,AI,,
660,1308, 10/06/15,AI,,
661,1309, 01/06/12,AI,,
662,1310, 01/06/12,AI,,
663,1312, 15/11/12,AI,,
664,1314, 07/01/13,AI,,
665,1315, 07/01/13,AI,,
666,1318, 07/01/13,AI,,
667,1321, 01/06/12,AI,,
668,1325, 17/12/13,AI,,
669,1332, 03/04/13,AI,,
670,1333, 07/01/13,AI,,
671,1334, 01/04/13,AI,,
672,1335, 07/01/13,AI,,
673,1338, 07/01/13,AI,,
674,1339, 26/07/16,AI,,
675,1339, 10/06/15,AI,,
676,1341, 10/06/15,AI,,
677,1342, 07/01/13,AI,,
678,1346, 07/01/13,AI,,
679,1349, 01/04/13,AI,,
680,1353, 07/01/13,AI,,
681,1355, 01/06/12,AI,,
682,1356, 01/06/12,AI,,
683,1357, 01/04/13,AI,,
684,1358, 01/01/16,AI,,
685,1359, 07/01/13,AI,,
686,1360, 10/06/15,AI,,
687,1361, 26/07/16,AI,,
688,1361, 10/06/15,AI,,
689,1362, 07/01/13,AI,,
690,1364, 10/06/15,AI,,
691,1366, 01/06/12,AI,,
692,1367, 01/06/12,AI,,
693,1368, 23/03/16,AI,,
694,1368, 01/04/15,AI,,
695,1369, 21/04/15,AI,,
696,1370, 27/11/12,AI,,
697,1372, 07/01/13,AI,,
698,1377, 07/01/13,AI,,
699,1378, 01/01/15,AI,,
700,1379, 15/11/12,AI,,
701,1380, 01/04/15,AI,,
702,1383, 01/10/12,AI,,
703,1385, 29/09/15,AI,,
704,1386, 03/04/13,AI,,
705,1387, 01/04/15,AI,,
706,1388, 24/09/14,AI,,
707,1389, 01/04/13,AI,,
708,1390, 01/04/13,AI,,
709,1396, 01/04/13,AI,,
710,1398, 01/10/12,AI,,
711,1399, 23/03/16,AI,,
712,1399, 01/04/15,AI,,
713,1401, 01/06/12,AI,,
714,1402, 16/10/15,AI,,
715,1402, 01/04/15,AI,,
