ProdKey,CowKey,testDate,LTDDate,HTFatPC,HTProtPC,HTLactPC,HTLitreAM,HTLitrePM,HTLitreTot,LtdLitre,LtdFatKg,LtdProtKg,LtdLactKg,StdLacDays,SCC,LW,LWRel,PayPW,PayPWRel,AbCode,Assessed,Withheld,comment,LtdDays,MilkPI,FatPI,ProteinPI,LtdVol305,LtdVolEx,LtdFatKg305,LtdFatKgEx,LtdProtKg305,LtdProtKgEx,LtdLactKg305,LtdLactKgEx,DL_LTDDate,DL_LtdLitre,DL_LtdFatKg,DL_LtdProtKg,DL_LtdLactKg,DL_LtdDays,BSTFlag
51,4041,20/01/2016,20/01/2016,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
52,4045,20/01/2016,20/01/2016,,,,,,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
53,4051,20/01/2016,20/01/2016,,,,,,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
54,4059,20/01/2016,20/01/2016,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
55,4065,20/01/2016,20/01/2016,,,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
56,4067,20/01/2016,20/01/2016,,,,,,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
57,4077,20/01/2016,20/01/2016,,,,,,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
58,4087,20/01/2016,20/01/2016,,,,,,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
59,4089,20/01/2016,20/01/2016,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
60,6022,20/01/2016,20/01/2016,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
61,6029,20/01/2016,20/01/2016,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
62,6049,20/01/2016,20/01/2016,,,,,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
63,6051,20/01/2016,20/01/2016,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
64,6056,20/01/2016,20/01/2016,,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
65,6057,20/01/2016,20/01/2016,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
66,6086,20/01/2016,20/01/2016,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
67,6088,20/01/2016,20/01/2016,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
68,6089,20/01/2016,20/01/2016,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
69,6106,20/01/2016,20/01/2016,,,,,,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
70,6123,20/01/2016,20/01/2016,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
71,6125,20/01/2016,20/01/2016,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
72,6136,20/01/2016,20/01/2016,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
73,6137,20/01/2016,20/01/2016,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
74,4105,20/01/2016,20/01/2016,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
75,6145,20/01/2016,20/01/2016,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
76,6146,20/01/2016,20/01/2016,,,,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
77,6161,20/01/2016,20/01/2016,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
78,6168,20/01/2016,20/01/2016,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
79,6170,20/01/2016,20/01/2016,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
80,6172,20/01/2016,20/01/2016,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
81,6174,20/01/2016,20/01/2016,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
82,6175,20/01/2016,20/01/2016,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
