CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase,LactNo
137,209,15/11/14,NORMAL,NONE,0,,,,,,,5
138,213,23/02/14,NORMAL,NONE,0,,,,,,,2
139,215,5/03/13,NORMAL,NONE,0,,,,,,,3
140,216,10/09/11,NORMAL,NONE,0,,,,,,,1
141,217,12/06/16,NORMAL,NONE,0,,,,,,,7
142,217,7/06/15,NORMAL,NONE,0,,,,,,,6
143,218,13/03/12,NORMAL,NONE,0,,,,,,,2
144,220,21/11/11,NORMAL,NONE,0,,,,,,,1
145,221,1/03/13,NORMAL,NONE,0,,,,,,,3
146,222,5/03/13,NORMAL,NONE,0,,,,,,,3
147,223,27/11/15,NORMAL,NONE,0,,,,,,,5
148,223,20/11/14,NORMAL,NONE,0,,,,,,,4
149,226,6/09/11,NORMAL,NONE,0,,,,,,,1
150,227,16/09/12,NORMAL,NONE,0,,,,,,,2
151,229,14/09/14,NORMAL,NONE,0,,,,,,,5
152,232,28/03/14,NORMAL,NONE,0,,,,,,,6
153,233,4/03/13,NORMAL,NONE,0,,,,,,,3
154,236,6/09/13,NORMAL,NONE,0,,,,,,,2
155,237,5/09/12,NORMAL,NONE,0,,,,,,,2
156,238,8/09/12,NORMAL,NONE,0,,,,,,,2
157,239,14/02/13,NORMAL,NONE,0,,,,,,,2
158,239,4/09/15,NORMAL,NONE,0,,,,,,,3
159,240,12/09/12,NORMAL,NONE,0,,,,,,,2
160,241,7/11/12,NORMAL,NONE,0,,,,,,,2
161,243,1/03/13,NORMAL,NONE,0,,,,,,,1
162,246,7/09/12,NORMAL,NONE,0,,,,,,,2
163,249,27/10/11,NORMAL,NONE,0,,,,,,,1
164,252,11/09/12,NORMAL,NONE,0,,,,,,,2
165,255,1/09/11,NORMAL,NONE,0,,,,,,,1
166,258,11/03/13,NORMAL,NONE,0,,,,,,,3
167,259,6/03/13,NORMAL,NONE,0,,,,,,,3
168,260,23/03/15,NORMAL,NONE,0,,,,,,,5
169,260,2/03/16,NORMAL,NONE,0,,,,,,,6
170,262,8/03/12,NORMAL,NONE,0,,,,,,,2
171,263,5/03/13,NORMAL,NONE,0,,,,,,,3
172,264,15/06/11,NORMAL,NONE,0,,,,,,,1
173,267,28/03/11,NORMAL,NONE,0,,,,,,,1
174,268,21/02/13,NORMAL,NONE,0,,,,,,,5
175,270,7/03/15,NORMAL,NONE,0,,,,,,,5
176,271,16/03/14,NORMAL,NONE,0,,,,,,,4
177,273,1/03/13,NORMAL,NONE,0,,,,,,,3
178,274,15/03/14,NORMAL,NONE,0,,,,,,,4
179,275,5/03/13,NORMAL,NONE,0,,,,,,,3
180,278,15/03/12,NORMAL,NONE,0,,,,,,,2
181,279,16/03/14,NORMAL,NONE,0,,,,,,,3
182,280,7/09/15,NORMAL,NONE,0,,,,,,,5
183,280,6/09/14,NORMAL,NONE,0,,,,,,,4
184,281,2/09/11,NORMAL,NONE,0,,,,,,,1
185,282,6/06/15,NORMAL,NONE,0,,,,,,,3
186,285,5/09/15,NORMAL,NONE,0,,,,,,,5
187,285,2/09/14,NORMAL,NONE,0,,,,,,,4
188,289,22/02/13,NORMAL,NONE,0,,,,,,,2
189,290,10/03/14,NORMAL,NONE,0,,,,,,,5
190,292,12/09/12,NORMAL,NONE,0,,,,,,,3
191,293,14/03/12,NORMAL,NONE,0,,,,,,,2
192,294,27/03/12,NORMAL,NONE,0,,,,,,,2
193,296,14/03/13,NORMAL,NONE,0,,,,,,,3
194,298,5/04/13,NORMAL,NONE,0,,,,,,,3
195,300,26/03/13,NORMAL,NONE,0,,,,,,,3
196,301,5/03/13,NORMAL,NONE,0,,,,,,,3
197,305,10/06/14,NORMAL,NONE,0,,,,,,,4
198,307,20/11/14,NORMAL,NONE,0,,,,,,,3
199,307,14/11/15,NORMAL,NONE,0,,,,,,,4
200,308,19/03/15,NORMAL,NONE,0,,,,,,,5
201,309,23/06/14,NORMAL,NONE,0,,,,,,,3
202,310,9/09/13,NORMAL,NONE,0,,,,,,,4
203,311,19/07/13,NORMAL,NONE,0,,,,,,,3
204,314,16/03/15,NORMAL,NONE,0,,,,,,,5
205,315,15/03/13,NORMAL,NONE,0,,,,,,,3
206,317,6/03/13,NORMAL,NONE,0,,,,,,,3
207,318,7/03/13,NORMAL,NONE,0,,,,,,,3
208,319,11/03/13,NORMAL,NONE,0,,,,,,,3
209,321,14/03/14,NORMAL,NONE,0,,,,,,,4
210,323,10/06/14,NORMAL,NONE,0,,,,,,,5
211,325,14/11/15,NORMAL,NONE,0,,,,,,,6
212,325,5/11/14,NORMAL,NONE,0,,,,,,,5
213,327,9/03/14,NORMAL,NONE,0,,,,,,,4
214,328,15/11/14,NORMAL,NONE,0,,,,,,,4
215,329,10/03/12,NORMAL,NONE,0,,,,,,,2
216,331,30/11/12,NORMAL,NONE,0,,,,,,,2
217,332,4/03/12,NORMAL,NONE,0,,,,,,,2
218,334,29/08/11,NORMAL,NONE,0,,,,,,,1
219,337,20/06/12,NORMAL,NONE,0,,,,,,,2
220,338,5/03/13,NORMAL,NONE,0,,,,,,,3
221,339,30/10/12,NORMAL,NONE,0,,,,,,,2
222,340,10/03/15,NORMAL,NONE,0,,,,,,,5
223,341,1/03/13,NORMAL,NONE,0,,,,,,,2
224,342,12/03/15,NORMAL,NONE,0,,,,,,,5
225,343,10/03/12,NORMAL,NONE,0,,,,,,,2
226,344,24/10/12,NORMAL,NONE,0,,,,,,,2
227,348,11/11/14,NORMAL,NONE,0,,,,,,,4
228,349,16/11/15,NORMAL,NONE,0,,,,,,,5
229,349,7/11/14,NORMAL,NONE,0,,,,,,,4
230,350,26/03/13,NORMAL,NONE,0,,,,,,,3
231,354,8/09/12,NORMAL,NONE,0,,,,,,,2
232,355,11/09/12,NORMAL,NONE,0,,,,,,,2
233,356,14/03/14,NORMAL,NONE,0,,,,,,,4
234,359,5/06/14,NORMAL,NONE,0,,,,,,,4
235,362,17/03/11,NORMAL,NONE,0,,,,,,,1
236,363,8/03/15,NORMAL,NONE,0,,,,,,,5
237,364,15/06/16,NORMAL,NONE,0,,,,,,,6
238,364,11/06/15,NORMAL,NONE,0,,,,,,,5
239,366,12/06/14,NORMAL,NONE,0,,,,,,,4
240,371,17/09/11,NORMAL,NONE,0,,,,,,,1
241,372,17/06/13,NORMAL,NONE,0,,,,,,,5
242,374,15/09/13,NORMAL,NONE,0,,,,,,,6
243,375,3/11/12,NORMAL,NONE,0,,,,,,,2
244,376,28/02/13,NORMAL,NONE,0,,,,,,,3
245,378,8/09/14,NORMAL,NONE,0,,,,,,,3
246,378,5/09/15,NORMAL,NONE,0,,,,,,,4
247,379,20/11/15,NORMAL,NONE,0,,,,,,,6
248,379,7/11/14,NORMAL,NONE,0,,,,,,,5
249,380,8/09/13,NORMAL,NONE,0,,,,,,,3
250,381,7/06/16,NORMAL,NONE,0,,,,,,,6
251,381,5/06/15,NORMAL,NONE,0,,,,,,,5
252,384,7/06/12,NORMAL,NONE,0,,,,,,,2
253,385,18/03/14,NORMAL,NONE,0,,,,,,,3
254,386,11/11/14,NORMAL,NONE,0,,,,,,,5
255,387,18/06/13,NORMAL,NONE,0,,,,,,,3
256,388,7/09/14,NORMAL,NONE,0,,,,,,,4
257,388,4/09/15,NORMAL,NONE,0,,,,,,,5
